ensembl,gene_symbol,univariate_F
ENSG00000134910,STT3A,21.14409563031308
ENSG00000149428,HYOU1,16.77261392902121
ENSG00000160013,PTGIR,15.865170773600585
ENSG00000143578,CREB3L4,15.128595998880407
ENSG00000272636,DOC2B,15.00082615678831
ENSG00000175567,UCP2,13.908327097799672
ENSG00000175198,PCCA,13.718208657956202
ENSG00000127463,EMC1,13.679264096502962
ENSG00000138674,SEC31A,13.349769789092976
ENSG00000173230,GOLGB1,13.292745461795757
ENSG00000175216,CKAP5,13.045747423169578
ENSG00000089876,DHX32,12.939914524424562
ENSG00000160194,NDUFV3,12.819353036767561
ENSG00000163399,ATP1A1,12.800470689133402
ENSG00000131558,EXOC4,12.66836855985859
ENSG00000171603,CLSTN1,12.49305371411832
ENSG00000138698,RAP1GDS1,12.40980309895857
ENSG00000163214,DHX57,12.34351573281922
ENSG00000136813,KIAA0368,12.311393181149626
ENSG00000134909,ARHGAP32,12.29640535507366
ENSG00000197157,SND1,12.233885373912905
ENSG00000164037,SLC9B1,12.053995614771823
ENSG00000154309,DISP1,12.049709303710362
ENSG00000110514,MADD,11.88666990268579
ENSG00000124942,AHNAK,11.883437015955495
ENSG00000144468,RHBDD1,11.874354121782876
ENSG00000170873,MTSS1,11.834850793531224
ENSG00000116062,MSH6,11.806849956941083
ENSG00000171723,GPHN,11.763520395797391
ENSG00000008438,PGLYRP1,11.6181031485502
ENSG00000117593,DARS2,11.577597592287121
ENSG00000143493,INTS7,11.559033086389572
ENSG00000185024,BRF1,11.53880579359174
ENSG00000124228,DDX27,11.532963126591621
ENSG00000160293,VAV2,11.49019212680639
ENSG00000128829,EIF2AK4,11.432661751240197
ENSG00000116127,ALMS1,11.425844957427934
ENSG00000272079,LA16c-380H5.5,11.409892764413437
ENSG00000114867,EIF4G1,11.393075378582731
ENSG00000009954,BAZ1B,11.334169735815996
ENSG00000134897,BIVM,11.309332330354142
ENSG00000146463,ZMYM4,11.269847094112546
ENSG00000072501,SMC1A,11.266338561034512
ENSG00000140391,TSPAN3,11.156539386189161
ENSG00000085511,MAP3K4,11.152519487554999
ENSG00000124785,NRN1,11.118239568805683
ENSG00000128908,INO80,11.113965047688298
ENSG00000138758,SEPT11,11.100896135203117
ENSG00000100077,ADRBK2,11.08851266878905
ENSG00000082805,ERC1,11.043130047452577
ENSG00000111962,UST,11.003369619123957
ENSG00000058262,SEC61A1,10.998080912039576
ENSG00000134262,AP4B1,10.987116798826925
ENSG00000079819,EPB41L2,10.929269967291006
ENSG00000125740,FOSB,10.926243814522937
ENSG00000117868,ESYT2,10.83717446566773
ENSG00000090863,GLG1,10.795144016603095
ENSG00000088812,ATRN,10.749414595914224
ENSG00000103353,UBFD1,10.729305900206477
ENSG00000138172,CALHM2,10.721081484872409
ENSG00000143799,PARP1,10.713247587016424
ENSG00000182362,YBEY,10.693292645390526
ENSG00000085377,PREP,10.69261411827398
ENSG00000128191,DGCR8,10.586530942560639
ENSG00000136628,EPRS,10.566657684229359
ENSG00000136811,ODF2,10.519711330393719
ENSG00000089094,KDM2B,10.504188673088137
ENSG00000173905,GOLIM4,10.449412095337005
ENSG00000204120,GIGYF2,10.413028064586818
ENSG00000182606,TRAK1,10.389852731858745
ENSG00000136193,SCRN1,10.381861066747401
ENSG00000166886,NAB2,10.373143024068371
ENSG00000082641,NFE2L1,10.371718337510448
ENSG00000151914,DST,10.349549354108268
ENSG00000189091,SF3B3,10.32785019142729
ENSG00000117597,DIEXF,10.309560309736632
ENSG00000184708,EIF4ENIF1,10.30415921956011
ENSG00000082516,GEMIN5,10.293001640220849
ENSG00000149639,SOGA1,10.276153060176048
ENSG00000103544,C16orf62,10.26216065317287
ENSG00000095319,NUP188,10.250011624405222
ENSG00000133789,SWAP70,10.23740884855899
ENSG00000117385,LEPRE1,10.221855728358273
ENSG00000100600,LGMN,10.220538058402942
ENSG00000112486,CCR6,10.204238734692593
ENSG00000152127,MGAT5,10.189825462672676
ENSG00000237520,RP11-443B7.2,10.178598096257332
ENSG00000119537,KDSR,10.125338527607335
ENSG00000110048,OSBP,10.06599233118166
ENSG00000110274,CEP164,10.043246053062846
ENSG00000069248,NUP133,10.022734750045643
ENSG00000180596,HIST1H2BC,10.020598247771872
ENSG00000100592,DAAM1,9.984700291697699
ENSG00000165733,BMS1,9.909733827071527
ENSG00000182809,CRIP2,9.833707344751575
ENSG00000069329,VPS35,9.821605406759629
ENSG00000081760,AACS,9.817129541487764
ENSG00000004399,PLXND1,9.77059391811572
ENSG00000044574,HSPA5,9.724379646317288
ENSG00000198736,MSRB1,9.709831852449614
ENSG00000178252,WDR6,9.7029497596319
ENSG00000131378,RFTN1,9.660077098760743
ENSG00000166197,NOLC1,9.632694315460162
ENSG00000197694,SPTAN1,9.589404806173683
ENSG00000176986,SEC24C,9.585578756026127
ENSG00000084444,KIAA1467,9.558339460759717
ENSG00000148843,PDCD11,9.554663424494388
ENSG00000144791,LIMD1,9.55214277718036
ENSG00000184967,NOC4L,9.539437188688584
ENSG00000160602,NEK8,9.538362133438987
ENSG00000104356,POP1,9.536341050516512
ENSG00000108294,,9.53466983781294
ENSG00000107581,EIF3A,9.532945318051867
ENSG00000118705,RPN2,9.516687938116927
ENSG00000138002,IFT172,9.514539596943122
ENSG00000113569,NUP155,9.505624735667206
ENSG00000162909,CAPN2,9.48518851007058
ENSG00000076554,TPD52,9.477870425851057
ENSG00000198589,LRBA,9.47166899316823
ENSG00000171700,RGS19,9.457748871040675
ENSG00000067704,IARS2,9.456764288266367
ENSG00000136875,PRPF4,9.437574438536444
ENSG00000144134,RABL2A,9.419884018686401
ENSG00000107554,DNMBP,9.408319047692439
ENSG00000132792,CTNNBL1,9.38528473730577
ENSG00000100888,CHD8,9.358728373388148
ENSG00000143437,ARNT,9.35609458045215
ENSG00000124571,XPO5,9.355059872872408
ENSG00000169105,CHST14,9.347115746454453
ENSG00000159921,GNE,9.311130500324396
ENSG00000100362,PVALB,9.310063267832058
ENSG00000119285,HEATR1,9.303947231345036
ENSG00000187555,USP7,9.28301695629196
ENSG00000165698,C9orf9,9.240976965852873
ENSG00000167721,TSR1,9.225904761225328
ENSG00000145996,CDKAL1,9.181964006177452
ENSG00000100426,ZBED4,9.176473837923128
ENSG00000065054,SLC9A3R2,9.1759838061027
ENSG00000153201,RANBP2,9.15882170029872
ENSG00000148814,LRRC27,9.146138633619541
ENSG00000198824,CHAMP1,9.138048335092474
ENSG00000147144,CCDC120,9.069573683158797
ENSG00000106263,EIF3B,9.064718871579688
ENSG00000093072,CECR1,9.045896590995609
ENSG00000197697,,9.027613262641347
ENSG00000143514,TP53BP2,9.025561337348282
ENSG00000086758,HUWE1,9.0254803294757
ENSG00000013503,POLR3B,9.018174727608155
ENSG00000204084,INPP5B,9.000602330544414
ENSG00000010626,LRRC23,8.995741701754438
ENSG00000000938,FGR,8.990865970656008
ENSG00000100350,FOXRED2,8.956832421889061
ENSG00000148606,POLR3A,8.946805113755493
ENSG00000213903,LTB4R,8.917449691587251
ENSG00000147130,ZMYM3,8.909548591179442
ENSG00000089597,GANAB,8.88018161677672
ENSG00000213937,CLDN9,8.867485949234355
ENSG00000119777,TMEM214,8.856581187559113
ENSG00000204574,ABCF1,8.84767936463062
ENSG00000137497,NUMA1,8.837915522078076
ENSG00000075945,KIFAP3,8.809854573312546
ENSG00000204178,TMEM57,8.806510049703352
ENSG00000139641,ESYT1,8.790943532130626
ENSG00000174437,ATP2A2,8.774614244147084
ENSG00000112130,RNF8,8.771759807159903
ENSG00000128928,IVD,8.735460241569692
