ensembl,gene_symbol,univariate_F
ENSG00000134910,STT3A,52.73664820208674
ENSG00000124785,NRN1,46.40396790990673
ENSG00000140391,TSPAN3,44.236340292419854
ENSG00000171700,RGS19,43.754762078629014
ENSG00000117597,DIEXF,43.1556095408749
ENSG00000143578,CREB3L4,43.11265438316463
ENSG00000138758,SEPT11,42.96485477902185
ENSG00000119537,KDSR,41.07676837010941
ENSG00000065054,SLC9A3R2,40.85458826664105
ENSG00000108294,,40.61161704592158
ENSG00000111962,UST,39.77482041592334
ENSG00000127463,EMC1,39.539175208223305
ENSG00000138698,RAP1GDS1,39.50325661534214
ENSG00000076554,TPD52,39.502261886524884
ENSG00000160602,NEK8,39.4733625235004
ENSG00000117868,ESYT2,39.458453671327476
ENSG00000075275,CELSR1,38.936834113709345
ENSG00000213903,LTB4R,38.69599945365638
ENSG00000234745,HLA-B,38.69506958813831
ENSG00000112486,CCR6,38.217797330595936
ENSG00000171723,GPHN,37.79487978144678
ENSG00000122507,BBS9,37.41009438103158
ENSG00000134897,BIVM,37.1059822616213
ENSG00000160194,NDUFV3,37.01660110656674
ENSG00000108405,P2RX1,36.78697758725276
ENSG00000187808,SOWAHD,36.61208914254435
ENSG00000133789,SWAP70,36.409274600227995
ENSG00000213654,GPSM3,36.27152914815038
ENSG00000100426,ZBED4,36.25685131029832
ENSG00000152127,MGAT5,35.569532659246406
ENSG00000198736,MSRB1,35.44767469249965
ENSG00000128829,EIF2AK4,35.25750644427121
ENSG00000116127,ALMS1,35.173678461876214
ENSG00000196511,TPK1,34.92927602160409
ENSG00000085511,MAP3K4,34.298295941315295
ENSG00000166780,C16orf45,34.18882599939826
ENSG00000109944,C11orf63,34.02796609038659
ENSG00000112992,NNT,33.98248185277463
ENSG00000144468,RHBDD1,33.80022327924028
ENSG00000008438,PGLYRP1,33.79795050175369
ENSG00000140545,MFGE8,33.79623355648888
ENSG00000122694,GLIPR2,33.65658361226113
ENSG00000171497,PPID,33.61036152499192
ENSG00000100600,LGMN,33.53530548554061
ENSG00000072042,RDH11,33.32154907731616
ENSG00000273270,RP11-212P7.2,33.25805129930603
ENSG00000172071,EIF2AK3,33.15909261073002
ENSG00000150995,ITPR1,33.14795416731708
ENSG00000134909,ARHGAP32,33.14220641803732
ENSG00000178252,WDR6,33.08710650572375
ENSG00000163214,DHX57,32.93027382413107
ENSG00000125484,GTF3C4,32.84486471386366
