ensembl,gene_symbol,univariate_F
ENSG00000272636,DOC2B,19.061204084095593
ENSG00000231435,AC011747.3,18.100339473789674
ENSG00000101000,PROCR,14.852477686917867
ENSG00000065054,SLC9A3R2,13.819899088524961
ENSG00000124785,NRN1,13.050389175523337
ENSG00000133574,GIMAP4,12.704629692274336
ENSG00000182362,YBEY,12.205094013831074
ENSG00000114988,LMAN2L,12.04079688646337
ENSG00000263740,RN7SL4P,11.924195811112252
ENSG00000185933,CALHM1,11.914720738098168
ENSG00000163687,DNASE1L3,11.663080120989438
ENSG00000079156,OSBPL6,11.442832477469427
ENSG00000140545,MFGE8,11.427517640712159
ENSG00000267673,FDX1L,11.364284767691583
ENSG00000269963,,11.343875690431535
ENSG00000197362,ZNF786,11.061587512396839
ENSG00000271043,MTRNR2L2,11.01222685923551
ENSG00000117016,RIMS3,10.55391732553898
ENSG00000177106,EPS8L2,10.359564785473282
ENSG00000111962,UST,10.262740379590644
ENSG00000175575,PAAF1,10.24455672465886
ENSG00000148120,C9orf3,10.07764537149325
ENSG00000171497,PPID,10.007286698507421
ENSG00000104863,LIN7B,9.981976476894426
ENSG00000010626,LRRC23,9.93437286006238
ENSG00000128928,IVD,9.889227553119012
ENSG00000075275,CELSR1,9.845150679003376
ENSG00000112486,CCR6,9.812024335580762
ENSG00000173511,VEGFB,9.790587269209004
ENSG00000105289,TJP3,9.710951265974982
ENSG00000241404,EGFL8,9.652229980315557
ENSG00000178665,ZNF713,9.616227002607538
ENSG00000140950,TLDC1,9.602099333761712
ENSG00000227740,RP11-318C24.2,9.588462809334322
ENSG00000160602,NEK8,9.580760724042742
ENSG00000008517,IL32,9.430698345708908
ENSG00000117597,DIEXF,9.32023418594281
ENSG00000165626,BEND7,9.31263720237766
ENSG00000108405,P2RX1,9.260201587641186
ENSG00000128594,LRRC4,9.259604547255352
ENSG00000091536,MYO15A,9.244715504470069
ENSG00000137880,GCHFR,9.231015619454586
ENSG00000008438,PGLYRP1,9.087647033242277
ENSG00000213903,LTB4R,9.081500912242431
ENSG00000167333,TRIM68,9.04226522638691
ENSG00000198960,ARMCX6,8.99322796639073
ENSG00000184967,NOC4L,8.98244042114133
ENSG00000119673,ACOT2,8.972715719106516
ENSG00000124507,PACSIN1,8.898126992231237
ENSG00000081760,AACS,8.87583408332228
ENSG00000175567,UCP2,8.852990547124262
ENSG00000163959,SLC51A,8.851158227664525
ENSG00000105278,ZFR2,8.781232086882563
ENSG00000196557,CACNA1H,8.731520454656621
