ensembl,gene_symbol,univariate_F
ENSG00000187808,SOWAHD,20.528035854612835
ENSG00000157873,TNFRSF14,18.556793450559205
ENSG00000167578,RAB4B,15.605846477077389
ENSG00000175756,AURKAIP1,13.846444106593768
ENSG00000237372,UNQ6494,13.509705136523364
ENSG00000147465,STAR,13.286849184568505
ENSG00000108294,,12.671299645269125
ENSG00000148450,MSRB2,12.572151843539617
ENSG00000147439,BIN3,12.059964456884433
ENSG00000173239,LIPM,11.627758918673953
ENSG00000152127,MGAT5,11.603292553952498
ENSG00000133835,HSD17B4,11.414769018109535
ENSG00000100362,PVALB,11.324435142478112
ENSG00000004059,ARF5,11.220199629204293
ENSG00000172236,TPSAB1,11.149257852474092
ENSG00000188316,ENO4,11.046811794022513
ENSG00000138758,SEPT11,11.044324184833416
ENSG00000128829,EIF2AK4,10.980231012257773
ENSG00000234745,HLA-B,10.956306271420887
ENSG00000171723,GPHN,10.88940957021636
ENSG00000112992,NNT,10.840540931220731
ENSG00000082014,SMARCD3,10.784290055793097
ENSG00000131165,CHMP1A,10.762684160411268
ENSG00000092010,PSME1,10.738169601225199
ENSG00000169223,LMAN2,10.703415295344236
ENSG00000205220,PSMB10,10.701489216118583
ENSG00000213654,GPSM3,10.69631130387327
ENSG00000133789,SWAP70,10.579489092222586
ENSG00000163154,TNFAIP8L2,10.511198175653378
ENSG00000132842,AP3B1,10.27137217299001
ENSG00000204619,PPP1R11,10.269630453679026
ENSG00000183784,C9orf66,10.097760045287814
ENSG00000148053,NTRK2,9.978010728669423
ENSG00000134905,CARS2,9.94373252090656
ENSG00000136813,KIAA0368,9.865242591240287
ENSG00000106546,AHR,9.728479555978208
ENSG00000134910,STT3A,9.711633122572914
ENSG00000075240,GRAMD4,9.618364159857915
ENSG00000205155,PSENEN,9.600924252763669
ENSG00000269524,CTB-83J4.1,9.581877285351235
ENSG00000143344,RGL1,9.38512702550718
ENSG00000134531,EMP1,9.282871725997678
ENSG00000126246,IGFLR1,9.24540134142999
ENSG00000124785,NRN1,9.065762710384774
ENSG00000088854,C20orf194,9.002444748216128
ENSG00000075223,SEMA3C,8.990260234930354
ENSG00000079482,OPHN1,8.989875066818817
ENSG00000141068,KSR1,8.965624732992751
ENSG00000151532,VTI1A,8.938855739894672
ENSG00000179241,LDLRAD3,8.93587871891619
ENSG00000103404,USP31,8.895706874674001
ENSG00000231412,CTC-490G23.2,8.889589885849887
ENSG00000060491,OGFR,8.870884766004004
ENSG00000239665,RP11-295P9.3,8.846678654598167
ENSG00000137822,TUBGCP4,8.823974480829662
ENSG00000104915,STX10,8.765596357023856
ENSG00000000938,FGR,8.700843670542204
ENSG00000170296,GABARAP,8.666557524393408
ENSG00000133321,RARRES3,8.602199026417725
ENSG00000179833,SERTAD2,8.582669487533366
ENSG00000140265,ZSCAN29,8.569478285661974
ENSG00000108405,P2RX1,8.560397969872104
ENSG00000124813,RUNX2,8.511333946950636
ENSG00000143437,ARNT,8.492900458920607
ENSG00000178163,ZNF518B,8.473712062379121
ENSG00000104518,GSDMD,8.466206767402552
ENSG00000150995,ITPR1,8.404620423361456
ENSG00000127022,CANX,8.389813311396269
ENSG00000067798,NAV3,8.368306945554153
ENSG00000173905,GOLIM4,8.366436569183783
ENSG00000102796,DHRS12,8.350333067992848
ENSG00000075391,RASAL2,8.349717740749025
ENSG00000127463,EMC1,8.317736377524632
ENSG00000134278,SPIRE1,8.262832377533332
ENSG00000100426,ZBED4,8.253925149023273
ENSG00000183379,SYNDIG1L,8.209874933989028
ENSG00000159708,LRRC36,8.192091354587422
ENSG00000198518,,8.183229990385868
ENSG00000112031,MTRF1L,8.172587965786576
ENSG00000131669,NINJ1,8.163684455918771
ENSG00000005075,POLR2J,8.160668031677538
ENSG00000116691,MIIP,8.15916674046953
ENSG00000088002,SULT2B1,8.121013797691255
ENSG00000152207,CYSLTR2,8.06194750934682
ENSG00000101363,MANBAL,8.050365631000492
ENSG00000169118,CSNK1G1,8.009686012069873
ENSG00000153201,RANBP2,7.968782145137366
ENSG00000101294,HM13,7.964697876128503
ENSG00000103489,XYLT1,7.948847733659478
ENSG00000068878,PSME4,7.92497470297465
ENSG00000204642,HLA-F,7.919608402063988
ENSG00000123810,B9D2,7.910966378622026
ENSG00000160602,NEK8,7.896796878706609
ENSG00000198736,MSRB1,7.892682685461989
ENSG00000111962,UST,7.888897375561505
ENSG00000113407,TARS,7.886266272667028
ENSG00000139793,MBNL2,7.855843215229042
ENSG00000185219,ZNF445,7.85065129986064
ENSG00000138698,RAP1GDS1,7.842922746922624
ENSG00000203666,EFCAB2,7.836158435694932
ENSG00000160446,ZDHHC12,7.81646415055542
ENSG00000124226,RNF114,7.813783385076687
ENSG00000127946,HIP1,7.806842405138512
ENSG00000159871,LYPD5,7.743715463750629
ENSG00000168672,FAM84B,7.683401040201914
ENSG00000168899,VAMP5,7.662284357675373
ENSG00000140391,TSPAN3,7.6619117159519226
ENSG00000196511,TPK1,7.655908481159152
ENSG00000172037,LAMB2,7.639513819970307
ENSG00000002726,AOC1,7.577098211850192
ENSG00000100150,DEPDC5,7.527521736605141
ENSG00000169499,PLEKHA2,7.51015090782482
ENSG00000166780,C16orf45,7.503740841826877
ENSG00000170027,YWHAG,7.482287742796658
ENSG00000129673,AANAT,7.4552658610913145
ENSG00000110321,EIF4G2,7.448240794640835
ENSG00000102794,IRG1,7.4229473818031275
ENSG00000273270,RP11-212P7.2,7.41569323831283
ENSG00000149639,SOGA1,7.38996578966792
ENSG00000145703,IQGAP2,7.356930159712237
ENSG00000141741,MIEN1,7.350099155843869
ENSG00000171700,RGS19,7.3322591592983875
ENSG00000102978,POLR2C,7.319127936314022
ENSG00000167258,CDK12,7.272015253075465
ENSG00000085514,PILRA,7.267421527854876
ENSG00000145990,GFOD1,7.223951833849312
ENSG00000151952,TMEM132D,7.2216915269424335
ENSG00000126947,ARMCX1,7.194610008797838
ENSG00000065320,NTN1,7.185680077315208
ENSG00000178607,ERN1,7.176843563760513
ENSG00000185811,IKZF1,7.169201855112678
ENSG00000117868,ESYT2,7.168126513184252
ENSG00000162065,TBC1D24,7.161172955577409
ENSG00000008869,HEATR5B,7.155863551251732
ENSG00000079819,EPB41L2,7.152573309408171
ENSG00000224397,LINC01272,7.129583167399712
ENSG00000214212,C19orf38,7.118933778014354
ENSG00000107581,EIF3A,7.109990103514113
ENSG00000164300,SERINC5,7.107915467591824
ENSG00000088812,ATRN,7.101210881734413
ENSG00000164506,STXBP5,7.101030433249424
ENSG00000104219,ZDHHC2,7.087733279769622
ENSG00000131370,SH3BP5,7.086440877101416
ENSG00000272659,AP000295.10,7.06537746931023
ENSG00000124942,AHNAK,7.050234204806823
ENSG00000049089,COL9A2,7.045439573035679
ENSG00000139517,LNX2,7.039462889012459
ENSG00000115325,DOK1,7.039099010498821
ENSG00000077809,,7.025096249950426
ENSG00000109944,C11orf63,7.0115504851059045
ENSG00000186951,PPARA,7.010591474408154
ENSG00000139629,GALNT6,7.006316879091965
ENSG00000229205,LINC00200,6.995448141407474
ENSG00000111837,MAK,6.993947937623964
ENSG00000147251,DOCK11,6.986833743289041
ENSG00000154310,TNIK,6.966324266772319
ENSG00000169570,DTWD2,6.951071209789315
ENSG00000124496,TRERF1,6.930684849203353
ENSG00000159377,PSMB4,6.9243541140327665
ENSG00000074660,SCARF1,6.9105551865601225
ENSG00000114904,NEK4,6.891679601061717
ENSG00000224652,LINC00885,6.886194320359353
ENSG00000107242,PIP5K1B,6.885271031310866
ENSG00000175595,ERCC4,6.873047891101785
ENSG00000135829,DHX9,6.865009361146239
ENSG00000130222,GADD45G,6.86395143460956
ENSG00000169032,MAP2K1,6.8462869388543846
ENSG00000103966,EHD4,6.843521257205263
ENSG00000125484,GTF3C4,6.839276506293013
ENSG00000011600,TYROBP,6.835567489223555
ENSG00000122507,BBS9,6.821405870623449
ENSG00000179820,MYADM,6.808262483975401
ENSG00000172890,NADSYN1,6.8057669066969115
ENSG00000158773,USF1,6.8002084605705955
ENSG00000119711,ALDH6A1,6.796627610677064
ENSG00000188352,FOCAD,6.7931107152924
ENSG00000160111,CPAMD8,6.788673756026124
ENSG00000204264,PSMB8,6.787222414760629
ENSG00000197301,RP11-366L20.2,6.776614532487717
ENSG00000163214,DHX57,6.77225540610948
ENSG00000134470,IL15RA,6.761389734594311
ENSG00000163349,HIPK1,6.752625174761502
ENSG00000164056,SPRY1,6.733692614279987
ENSG00000213903,LTB4R,6.731650926637857
ENSG00000122694,GLIPR2,6.719764803916269
ENSG00000181827,RFX7,6.715389042739441
ENSG00000164953,TMEM67,6.70878248833762
ENSG00000076554,TPD52,6.703960179644302
ENSG00000172817,CYP7B1,6.698345020875637
ENSG00000172071,EIF2AK3,6.68967711337307
ENSG00000123815,ADCK4,6.688197535274411
ENSG00000160789,LMNA,6.686710964617375
ENSG00000078589,P2RY10,6.667475398688978
ENSG00000009413,REV3L,6.665248515792298
ENSG00000174485,DENND4A,6.662659281591371
ENSG00000163606,CD200R1,6.654540827989469
ENSG00000152556,PFKM,6.6391726120879015
ENSG00000204611,ZNF616,6.632809860654803
ENSG00000007038,PRSS21,6.628887867258185
ENSG00000167565,SERTAD3,6.622113389491158
