ensembl,symbol
ENSG00000000419,DPM1
ENSG00000000457,SCYL3
ENSG00000000460,FIRRM
ENSG00000000938,FGR
ENSG00000000971,CFH
ENSG00000001036,FUCA2
ENSG00000001084,GCLC
ENSG00000001167,NFYA
ENSG00000001460,STPG1
ENSG00000001461,NIPAL3
ENSG00000001497,LAS1L
ENSG00000001561,ENPP4
ENSG00000001629,ANKIB1
ENSG00000001630,CYP51A1
ENSG00000001631,KRIT1
ENSG00000002016,RAD52
ENSG00000002330,BAD
ENSG00000002549,LAP3
ENSG00000002587,HS3ST1
ENSG00000002726,AOC1
ENSG00000002822,MAD1L1
ENSG00000002834,LASP1
ENSG00000002919,SNX11
ENSG00000002933,TMEM176A
ENSG00000003056,M6PR
ENSG00000003147,ICA1
ENSG00000003249,DBNDD1
ENSG00000003393,ALS2
ENSG00000003400,CASP10
ENSG00000003402,CFLAR
ENSG00000003436,TFPI
ENSG00000003509,NDUFAF7
ENSG00000003756,RBM5
ENSG00000003987,MTMR7
ENSG00000004059,ARF5
ENSG00000004139,SARM1
ENSG00000004142,POLDIP2
ENSG00000004399,PLXND1
ENSG00000004455,AK2
ENSG00000004468,CD38
ENSG00000004478,FKBP4
ENSG00000004487,KDM1A
ENSG00000004534,RBM6
ENSG00000004660,CAMKK1
ENSG00000004700,RECQL
ENSG00000004766,VPS50
ENSG00000004777,ARHGAP33
ENSG00000004779,NDUFAB1
ENSG00000004799,PDK4
ENSG00000004809,SLC22A16
ENSG00000004838,ZMYND10
ENSG00000004864,SLC25A13
ENSG00000004866,ST7
ENSG00000004897,CDC27
ENSG00000004939,SLC4A1
ENSG00000004961,HCCS
ENSG00000004975,DVL2
ENSG00000005007,UPF1
ENSG00000005020,SKAP2
ENSG00000005022,SLC25A5
ENSG00000005059,MCUB
ENSG00000005075,POLR2J
ENSG00000005100,DHX33
ENSG00000005102,MEOX1
ENSG00000005156,LIG3
ENSG00000005175,RPAP3
ENSG00000005187,ACSM3
ENSG00000005189,REXO5
ENSG00000005194,CIAPIN1
ENSG00000005238,ATOSB
ENSG00000005243,COPZ2
ENSG00000005249,PRKAR2B
ENSG00000005302,MSL3
ENSG00000005339,CREBBP
ENSG00000005379,TSPOAP1
ENSG00000005381,MPO
ENSG00000005436,GCFC2
ENSG00000005448,WDR54
ENSG00000005469,CROT
ENSG00000005471,ABCB4
ENSG00000005483,KMT2E
ENSG00000005486,RHBDD2
ENSG00000005513,SOX8
ENSG00000005700,IBTK
ENSG00000005801,ZNF195
ENSG00000005810,MYCBP2
ENSG00000005812,FBXL3
ENSG00000005844,ITGAL
ENSG00000005882,PDK2
ENSG00000005884,ITGA3
ENSG00000005889,ZFX
ENSG00000005893,LAMP2
ENSG00000005955,ENSG00000005955
ENSG00000005961,ITGA2B
ENSG00000006007,GDE1
ENSG00000006015,REX1BD
ENSG00000006025,OSBPL7
ENSG00000006075,ENSG00000006075
ENSG00000006114,ENSG00000006114
ENSG00000006125,AP2B1
ENSG00000006194,ZNF263
ENSG00000006282,SPATA20
ENSG00000006327,TNFRSF12A
ENSG00000006432,MAP3K9
ENSG00000006451,RALA
ENSG00000006453,BAIAP2L1
ENSG00000006459,KDM7A
ENSG00000006530,AGK
ENSG00000006534,ALDH3B1
ENSG00000006555,TTC22
ENSG00000006576,PHTF2
ENSG00000006607,FARP2
ENSG00000006625,GGCT
ENSG00000006634,DBF4
ENSG00000006638,TBXA2R
ENSG00000006652,IFRD1
ENSG00000006695,COX10
ENSG00000006712,PAF1
ENSG00000006715,VPS41
ENSG00000006744,ELAC2
ENSG00000006756,ARSD
ENSG00000006757,PNPLA4
ENSG00000006831,ADIPOR2
ENSG00000007038,PRSS21
ENSG00000007047,MARK4
ENSG00000007080,CCDC124
ENSG00000007129,CEACAM21
ENSG00000007168,PAFAH1B1
ENSG00000007202,BLTP2
ENSG00000007237,GAS7
ENSG00000007255,TRAPPC6A
ENSG00000007264,MATK
ENSG00000007312,CD79B
ENSG00000007341,ST7L
ENSG00000007350,TKTL1
ENSG00000007372,PAX6
ENSG00000007376,RPUSD1
ENSG00000007392,LUC7L
ENSG00000007402,CACNA2D2
ENSG00000007516,BAIAP3
ENSG00000007520,TSR3
ENSG00000007541,PIGQ
ENSG00000007545,CRAMP1
ENSG00000007923,DNAJC11
ENSG00000007944,MYLIP
ENSG00000007968,E2F2
ENSG00000008018,PSMB1
ENSG00000008083,JARID2
ENSG00000008086,CDKL5
ENSG00000008128,CDK11A
ENSG00000008130,NADK
ENSG00000008226,DLEC1
ENSG00000008256,CYTH3
ENSG00000008277,ADAM22
ENSG00000008282,SYPL1
ENSG00000008283,CYB561
ENSG00000008294,SPAG9
ENSG00000008300,CELSR3
ENSG00000008324,SS18L2
ENSG00000008382,MPND
ENSG00000008394,MGST1
ENSG00000008405,CRY1
ENSG00000008438,PGLYRP1
ENSG00000008441,NFIX
ENSG00000008513,ST3GAL1
ENSG00000008516,MMP25
ENSG00000008517,IL32
ENSG00000008710,PKD1
ENSG00000008735,MAPK8IP2
ENSG00000008838,MED24
ENSG00000008853,RHOBTB2
ENSG00000008869,HEATR5B
ENSG00000008952,SEC62
ENSG00000008988,RPS20
ENSG00000009307,CSDE1
ENSG00000009335,UBE3C
ENSG00000009413,REV3L
ENSG00000009694,TENM1
ENSG00000009724,MASP2
ENSG00000009780,FAM76A
ENSG00000009790,TRAF3IP3
ENSG00000009830,POMT2
ENSG00000009844,VTA1
ENSG00000009954,BAZ1B
ENSG00000010017,RANBP9
ENSG00000010030,ETV7
ENSG00000010072,SPRTN
ENSG00000010165,METTL13
