Gene_set,Term,Overlap,P-value,Adjusted P-value,Genes
KEGG_2021_Human,RNA polymerase,4/31,0.0005750588435633571,0.106385886059221,POLR3A;POLR3B;POLR2C;POLR2J
GO_Biological_Process_2021,regulation of gene silencing by miRNA (GO:0060964),6/67,0.0001895054272689101,0.2216600400848797,NUP188;NUP133;NUP155;POLR2C;LIMD1;POLR2J
GO_Biological_Process_2021,regulation of gene silencing by RNA (GO:0060966),5/55,0.0006127437182719552,0.2216600400848797,NUP188;NUP133;NUP155;POLR2C;POLR2J
GO_Biological_Process_2021,import into nucleus (GO:0051170),6/77,0.00040583006466033853,0.2216600400848797,EIF4ENIF1;NUP188;NUP133;NUP155;GEMIN5;IPO5
GO_Biological_Process_2021,regulation of posttranscriptional gene silencing (GO:0060147),5/55,0.0006127437182719552,0.2216600400848797,NUP188;NUP133;NUP155;POLR2C;POLR2J
MSigDB_Hallmark_2020,Unfolded Protein Response,5/113,0.0138138990098783,0.296998828712385,HSPA9;NOLC1;HYOU1;SDAD1;SEC31A
MSigDB_Hallmark_2020,Protein Secretion,5/96,0.0071265847882899,0.296998828712385,SCRN1;RER1;COG2;ATP1A1;SEC31A
GO_Biological_Process_2021,amyloid-beta metabolic process (GO:0050435),3/17,0.0011526424458988,0.3335747238431381,APH1A;ABCA7;IDE
GO_Biological_Process_2021,response to UV (GO:0009411),6/99,0.001527579157879,0.3462980728474021,MSH6;PARP1;RHBDD1;EIF2AK4;INO80;MAP3K4
GO_Biological_Process_2021,transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972),2/6,0.0022583144908214,0.3462980728474021,NUP133;NUP155
GO_Biological_Process_2021,cellular response to cold (GO:0070417),2/6,0.0022583144908214,0.3462980728474021,NFKBIA;EIF2AK4
GO_Biological_Process_2021,protein import into nucleus (GO:0006606),5/76,0.0026325354535738,0.3462980728474021,EIF4ENIF1;NUP188;NUP133;NUP155;IPO5
GO_Biological_Process_2021,establishment of protein localization to organelle (GO:0072594),5/76,0.0026325354535738,0.3462980728474021,EIF4ENIF1;NUP188;NUP133;NUP155;IPO5
GO_Biological_Process_2021,protein localization to nucleus (GO:0034504),6/106,0.0021636558397661,0.3462980728474021,EIF4ENIF1;NUP188;NUP155;NUP133;ABCA7;IPO5
GO_Biological_Process_2021,positive regulation of adaptive immune response (GO:0002821),2/8,0.0041464317951332,0.3779191639951995,EIF2AK4;FADD
GO_Biological_Process_2021,osteoblast development (GO:0002076),2/8,0.0041464317951332,0.3779191639951995,CLEC5A;LIMD1
GO_Biological_Process_2021,negative regulation of alpha-beta T cell proliferation (GO:0046642),2/10,0.0065549077304943,0.3779191639951995,TNFRSF14;ZBTB7B
GO_Biological_Process_2021,protein import (GO:0017038),5/89,0.0051907207721969,0.3779191639951995,EIF4ENIF1;NUP188;NUP133;NUP155;IPO5
GO_Biological_Process_2021,ERAD pathway (GO:0036503),5/87,0.0047143233111273,0.3779191639951995,RCN3;USP13;FOXRED2;RHBDD1;DNAJB12
GO_Biological_Process_2021,positive regulation of interferon-gamma production (GO:0032729),4/57,0.0056047275105052,0.3779191639951995,TLR9;FADD;CD244;IL12RB2
GO_Biological_Process_2021,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)",3/30,0.0061066114057568,0.3779191639951995,BMS1;HEATR1;KRI1
GO_Biological_Process_2021,chloride ion homeostasis (GO:0055064),2/10,0.0065549077304943,0.3779191639951995,CA12;SLC12A3
GO_Biological_Process_2021,histone H3-K36 demethylation (GO:0070544),2/10,0.0065549077304943,0.3779191639951995,KDM4C;KDM2B
GO_Biological_Process_2021,monovalent inorganic anion homeostasis (GO:0055083),2/10,0.0065549077304943,0.3779191639951995,CA12;SLC12A3
GO_Biological_Process_2021,regulation of interferon-gamma production (GO:0032649),5/86,0.0044881725436461,0.3779191639951995,AXL;TLR9;FADD;CD244;IL12RB2
