ensembl,gene_symbol,mean_abs_shap,univariate_F
ENSG00000151952,TMEM132D,0.74011326,21.322426653322783
ENSG00000134897,BIVM,0.7025397,13.633461441162252
ENSG00000067365,METTL22,0.53211427,15.063113435665997
ENSG00000154309,DISP1,0.5208449,13.005911187389957
ENSG00000143578,CREB3L4,0.48384246,21.128936529404548
ENSG00000157873,TNFRSF14,0.43804076,14.105272090471807
ENSG00000111962,UST,0.40677464,14.96827008341025
ENSG00000127463,EMC1,0.39530712,14.308278825217485
ENSG00000138698,RAP1GDS1,0.36519793,15.939190166843302
ENSG00000168887,C2orf68,0.29144284,14.29140314403174
ENSG00000125740,FOSB,0.27400613,13.362913002781138
ENSG00000184497,TMEM255B,0.2514725,15.71595742248868
ENSG00000134909,ARHGAP32,0.11732396,15.448569360904758
ENSG00000119737,GPR75,0.050341967,13.525925925925923
ENSG00000135437,RDH5,0.046590168,13.525925925925923
ENSG00000089094,KDM2B,0.042421523,12.964793100533333
ENSG00000205436,EXOC3L4,0.03848735,13.525925925925927
ENSG00000085511,MAP3K4,0.02296193,15.611402185017882
ENSG00000122641,INHBA,0.021886153,13.525925925925927
ENSG00000170873,MTSS1,0.019845868,13.142923679364452
ENSG00000070159,PTPN3,0.012269419,13.525925925925925
ENSG00000109674,NEIL3,0.00862082,13.525925925925929
ENSG00000004776,HSPB6,0.0065355776,13.525925925925923
ENSG00000117597,UTP25,0.005448861,12.906316017529594
ENSG00000084710,EFR3B,0.0,13.525925925925927
ENSG00000105146,AURKC,0.0,13.525925925925927
ENSG00000129951,PLPPR3,0.0,13.525925925925923
ENSG00000152760,DYNLT5,0.0,13.404534216305786
ENSG00000137941,TTLL7,0.0,13.525925925925927
ENSG00000144407,PTH2R,0.0,13.525925925925927
ENSG00000137819,PAQR5,0.0,13.525925925925925
ENSG00000165685,TMEM52B,0.0,13.525925925925925
ENSG00000174697,LEP,0.0,13.525925925925925
ENSG00000139194,RBP5,0.0,13.525925925925923
ENSG00000177181,RIMKLA,0.0,13.525925925925927
ENSG00000186417,GLDN,0.0,13.525925925925927
ENSG00000188076,SCGB1C1,0.0,13.525925925925927
ENSG00000188761,BCL2L15,0.0,13.525925925925927
ENSG00000223779,ENSG00000223779,0.0,13.525925925925925
ENSG00000224652,LINC00885,0.0,13.525925925925927
ENSG00000226124,FTCDNL1,0.0,13.525925925925929
ENSG00000231256,CFAP97D1,0.0,13.525925925925925
ENSG00000236882,LINC01554,0.0,13.525925925925927
ENSG00000248235,ENSG00000248235,0.0,12.917648157972055
ENSG00000251381,LINC00958,0.0,13.525925925925927
ENSG00000253394,LINC00534,0.0,13.525925925925925
ENSG00000254006,LOC105375878,0.0,13.525925925925923
ENSG00000266490,ENSG00000266490,0.0,13.525925925925927
ENSG00000271043,ENSG00000271043,0.0,13.525925925925929
ENSG00000272787,ENSG00000272787,0.0,13.525925925925925
