,classical monocyte,neutrophil,non-classical monocyte,basophil,eosinophil,gdT-cell,MAIT T-cell,memory CD4 T-cell,memory CD8 T-cell,naive CD4 T-cell,naive CD8 T-cell,T-reg,NK-cell
MPO,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELANE,4.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCGR3B,0.0,6077.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A8,26966.7,53446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A9,24645.2,33874.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S100A12,1326.0,1795.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSF3R,0.0,1924.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCR2,0.0,3297.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMP8,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MMP9,0.0,272.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LCN2,0.0,11.9,4.7,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMP,0.0,337.5,0.0,0.0,84.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD3D,0.0,0.0,0.0,0.0,0.0,1434.7,971.2,1184.7,1338.7,1071.7,1320.2,1629.7,0.0
CD3E,0.0,0.0,0.0,0.0,0.0,491.6,421.5,415.6,463.4,493.3,502.8,427.4,203.3
CD2,0.0,0.0,0.0,0.0,0.0,422.7,403.9,611.9,713.9,317.2,487.5,656.9,1110.8
IL7R,0.0,0.0,0.0,0.0,0.0,102.3,370.2,214.4,151.1,180.0,125.1,0.0,113.4
CD8A,0.0,0.0,0.0,0.0,0.0,0.0,227.9,0.0,509.4,0.0,461.5,0.0,0.0
CD8B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.5,0.0,1058.1,0.0,0.0
LCK,0.0,0.0,0.0,0.0,0.0,1075.1,1006.3,1091.0,1162.8,1226.0,1132.2,1617.2,627.6
TRAC,0.0,0.0,0.0,0.0,0.0,0.0,2127.4,2948.4,2508.6,2680.8,2394.9,4391.5,0.0
CCR7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4611.8,0.0,0.0,0.0
TCF7,0.0,0.0,0.0,0.0,0.0,0.0,28.6,49.9,29.2,97.5,61.9,0.0,43.1
