arm,arm_label,cell_type,median_unfavourable,median_cured,rank_biserial_r,p_value,n_marker_genes
DX,Pre-treatment,Neutrophil,0.28894678782576394,-0.06869248377585303,0.3493975903614457,0.13017569123509568,21.0
DX,Pre-treatment,T cell,-0.2847746731979098,0.038101828087391945,-0.3012048192771084,0.1943536707984735,14.0
DX,Pre-treatment,Monocyte,-0.02366092076239728,0.06942528019488223,-0.21858864027538727,0.35016929707118083,7.0
DX,Pre-treatment,B cell,-0.47898831465149255,0.2036767016345994,-0.387263339070568,0.09196409556475303,6.0
DX,Pre-treatment,NK cell,-0.2683765007287035,0.09711249375684985,-0.3390705679862306,0.14238986080362426,8.0
DX,Pre-treatment,Neutrophil - T cell,0.4980536387716232,-0.014709260699801274,0.3907056798623063,0.08897085960433238,
day_7,Day 7,Neutrophil,0.4885637085102745,-0.059688777885845014,0.6627450980392158,0.004762430142893817,21.0
day_7,Day 7,T cell,-0.6148864231987323,0.05700418954839217,-0.6274509803921569,0.008125645592645043,14.0
day_7,Day 7,Monocyte,0.023501889790477973,0.08065754160694062,0.015686274509803866,0.9564892966945531,7.0
day_7,Day 7,B cell,-0.6530873724874919,0.10225470606179983,-0.49411764705882355,0.042694403470378166,6.0
day_7,Day 7,NK cell,-0.25646447513526993,-0.052155028756461115,-0.2901960784313725,0.24664626526172884,8.0
day_7,Day 7,Neutrophil - T cell,1.1886595433681846,-0.04686536047746703,0.7215686274509805,0.0017295746191162606,
week_4,Week 4,Neutrophil,0.2518057221358525,-0.04714291805584092,0.35416666666666674,0.10131098863784425,21.0
week_4,Week 4,T cell,-0.11796326012119784,-0.008976796177565919,-0.25297619047619047,0.24673094926947547,14.0
week_4,Week 4,Monocyte,-0.12015058991571521,-0.0104186496926881,-0.0982142857142857,0.6582755881153026,7.0
week_4,Week 4,B cell,-0.36686498283157876,0.03158484439641192,-0.28869047619047616,0.18472035033171455,6.0
week_4,Week 4,NK cell,-0.5092722768811959,0.008852333004308221,-0.21130952380952384,0.33510477346445594,8.0
week_4,Week 4,Neutrophil - T cell,0.36976898225705035,-0.20718593517469586,0.3214285714285714,0.13841697770233816,
week_24,Week 24,Neutrophil,0.5667637057590266,-0.060239847654892,0.6518883415435139,0.0027887481746335404,21.0
week_24,Week 24,T cell,-1.3019889031711493,0.09506615961544665,-0.6617405582922824,0.0023358341635687425,14.0
week_24,Week 24,Monocyte,0.4688989838159487,-0.04932007364788046,0.451559934318555,0.04691180575771884,7.0
week_24,Week 24,B cell,-0.8823867222097851,0.13710115211588678,-0.7536945812807881,0.0003430259187298885,6.0
week_24,Week 24,NK cell,-0.3383463800348607,0.06347433933875947,-0.2972085385878489,0.19946474303512526,8.0
week_24,Week 24,Neutrophil - T cell,1.7567523081725063,-0.13259461283104507,0.7504105090311988,0.00037102686618408273,
