arm,arm_label,ensembl,gene_symbol,log2_fold_change,p_value,fdr,mean_unfavourable,mean_cured
DX,Pre-treatment,ENSG00000134910,STT3A,-0.41512496360189566,0.00011490316411843655,0.34354471910395196,5.2889859479244326,5.704110911526328
DX,Pre-treatment,ENSG00000175567,UCP2,-0.5076943176411799,0.0005011949227226743,0.34354471910395196,8.498875677502532,9.006569995143712
DX,Pre-treatment,ENSG00000160194,NDUFV3,-0.3302665170711627,0.0006621501097889465,0.34354471910395196,4.530689352261944,4.8609558693331065
DX,Pre-treatment,ENSG00000272079,LA16c-380H5.5,0.4151394680637859,0.0009184097320153215,0.34354471910395196,2.6109572723678798,2.195817804304094
DX,Pre-treatment,ENSG00000069329,VPS35,-0.1939837644127751,0.0009691533224141293,0.34354471910395196,6.51581360332907,6.709797367741845
DX,Pre-treatment,ENSG00000114867,EIF4G1,-0.31165196249795457,0.0010785173926847204,0.34354471910395196,6.843834994090399,7.155486956588353
DX,Pre-treatment,ENSG00000103544,C16orf62,-0.29496186589651696,0.0011373807786072,0.34354471910395196,4.998077503519623,5.29303936941614
DX,Pre-treatment,ENSG00000090863,GLG1,-0.3227752682628324,0.0011373807786072,0.34354471910395196,6.111450913834719,6.434226182097551
DX,Pre-treatment,ENSG00000138674,SEC31A,-0.3747678194848918,0.0011992017916964805,0.34354471910395196,5.785955422175893,6.160723241660785
DX,Pre-treatment,ENSG00000213937,CLDN9,0.4490777994717021,0.0011992017916964805,0.34354471910395196,4.64226460941005,4.193186809938348
DX,Pre-treatment,ENSG00000164037,SLC9B1,-0.16902899058179646,0.0011992017916964805,0.34354471910395196,0.1357222837017308,0.3047512742835273
DX,Pre-treatment,ENSG00000124785,NRN1,1.2347431740493802,0.0012641143053296006,0.34354471910395196,3.396270938371528,2.1615277643221478
DX,Pre-treatment,ENSG00000152939,MARVELD2,-0.11371766651487625,0.0014037757749117568,0.34354471910395196,0.10733717440920798,0.22105484092408423
DX,Pre-treatment,ENSG00000079819,EPB41L2,-0.47675089983309826,0.001478819423429592,0.34354471910395196,2.6480103418539405,3.1247612416870387
DX,Pre-treatment,ENSG00000171723,GPHN,-0.3566016066628752,0.001478819423429592,0.34354471910395196,1.731822172149135,2.08842377881201
DX,Pre-treatment,ENSG00000125740,FOSB,-0.5955196711807289,0.0015575442974279218,0.34354471910395196,1.2836496559493065,1.8791693271300354
DX,Pre-treatment,ENSG00000182809,CRIP2,-1.085096692170819,0.0015575442974279218,0.34354471910395196,2.0413732539028877,3.1264699460737067
DX,Pre-treatment,ENSG00000165698,C9orf9,-0.29843379395145475,0.0015575442974279218,0.34354471910395196,1.240044712015677,1.5384785059671318
DX,Pre-treatment,ENSG00000132965,ALOX5AP,0.5221651289567433,0.001640112235413395,0.34354471910395196,9.353694714747245,8.831529585790502
DX,Pre-treatment,ENSG00000072501,SMC1A,-0.3711312801173179,0.001640112235413395,0.34354471910395196,5.593478348072106,5.964609628189424
DX,Pre-treatment,ENSG00000132792,CTNNBL1,-0.3374695934074614,0.001640112235413395,0.34354471910395196,5.035272081187112,5.3727416745945735
DX,Pre-treatment,ENSG00000163399,ATP1A1,-0.3850069335196,0.0017266911894190074,0.34354471910395196,7.210699404822358,7.595706338341958
DX,Pre-treatment,ENSG00000049192,ADAMTS6,-0.23449210541573395,0.0017266911894190074,0.34354471910395196,0.32300708687965773,0.5574991922953917
DX,Pre-treatment,ENSG00000256582,RP11-75L1.1,-0.19622019737338942,0.0017266911894190074,0.34354471910395196,0.18071291243335436,0.37693310980674377
DX,Pre-treatment,ENSG00000067704,IARS2,-0.2885963431001386,0.0018174554055959222,0.34354471910395196,4.9798992886781255,5.268495631778264
DX,Pre-treatment,ENSG00000143578,CREB3L4,-0.461450778196427,0.0018174554055959222,0.34354471910395196,1.9119669573830218,2.373417735579449
DX,Pre-treatment,ENSG00000145996,CDKAL1,-0.3353144572115858,0.0018174554055959222,0.34354471910395196,2.9960629828996583,3.331377440111244
DX,Pre-treatment,ENSG00000125844,RRBP1,-0.2786915381937849,0.0020122691835882923,0.34354471910395196,5.4194300088047695,5.698121546998554
DX,Pre-treatment,ENSG00000160602,NEK8,-0.3692759614869985,0.0020122691835882923,0.34354471910395196,2.6716633678672794,3.040939329354278
DX,Pre-treatment,ENSG00000173230,GOLGB1,-0.2877842446628591,0.002116700374085352,0.34354471910395196,5.393580085707512,5.681364330370371
DX,Pre-treatment,ENSG00000131558,EXOC4,-0.29924222797335887,0.002116700374085352,0.34354471910395196,4.8507918216266415,5.1500340496
DX,Pre-treatment,ENSG00000134897,BIVM,-0.5206256774673161,0.00222608046506778,0.34354471910395196,1.5009974615448887,2.021623139012205
DX,Pre-treatment,ENSG00000175216,CKAP5,-0.4457438274922394,0.00222608046506778,0.34354471910395196,4.4054274529514235,4.851171280443663
DX,Pre-treatment,ENSG00000100077,ADRBK2,-0.39094376301642697,0.00222608046506778,0.34354471910395196,5.074547426244469,5.465491189260896
DX,Pre-treatment,ENSG00000119537,KDSR,-0.3727349372712965,0.00222608046506778,0.34354471910395196,4.050515676006941,4.423250613278237
DX,Pre-treatment,ENSG00000082641,NFE2L1,-0.2000319301576834,0.0023406179817371574,0.34354471910395196,6.295225520774238,6.495257450931922
