arm,arm_label,gene_set,term,overlap,p_value,adjusted_p,genes
week_24,Week 24,MSigDB_Hallmark_2020,Gene Expression (Transcription) R-HSA-74160,128/1449,1.3053840424643539e-10,1.61606544457087e-07,ZNF331;MDC1;ZNF571;NUP188;ICE1;TTF1;NR3C2;LSM11;CDC23;ZNF607;PPP2R1B;MYB;EPC1;MEN1;ZNF562;ZNF320;ZNF561;USP7;SMARCC2;ANAPC7;KCTD1;RUNX2;ZNF717;SCO2;PSME4;PSME1;ZNF317;ZNF432;ANAPC1;ZNF398;BLK;BLM;DNMT1;ZNF790;MAPKAP1;CTR9;GATA3;PLD6;FOXO1;NUP160;SOCS3;NUP85;ZKSCAN8;ZNF549;ZNF669;SMYD2;ZNF544;ZNF420;NFE2;PHC2;PHC1;ZNF383;SMAD3;CBX5;NUP155;SETD1B;SETD1A;NFATC2;ZNF34;SMARCA2;CNOT6;CNOT11;CDC16;INTS7;CDK12;THRB;NR2E1;MED17;ING5;SIN3A;ZNF649;UBTF;CASP1;DGCR8;TNKS1BP1;NELFA;ZIK1;TGIF1;BRD2;BRD1;NCBP1;PARP1;BAZ1B;MED26;ARID1B;WDR33;NCOR1;TFDP2;ZNF519;POLR1B;SGK1;GTF3C2;GTF3C4;RRN3;SMARCD3;RNMT;ZNF3;PSMB10;WRN;LEO1;PMS2;ZNF624;DROSHA;ZNF585B;E2F6;ZNF286A;SMARCE1;RANBP2;MGA;SSRP1;RPRD2;MAPK14;GTF2H3;PSMB8;LRPPRC;PML;PSMB9;ZNF33B;TNRC6C;POLR3A;MYBBP1A;ZNF71;POLR3B;PRKRA;ERCC6;TAF3;TAF1;ZFP28
week_24,Week 24,MSigDB_Hallmark_2020,RNA Polymerase II Transcription R-HSA-73857,109/1312,9.435718177817085e-08,4.328635286788416e-05,ZNF331;MDC1;ZNF571;ICE1;NR3C2;LSM11;CDC23;ZNF607;PPP2R1B;MYB;EPC1;MEN1;ZNF562;ZNF320;ZNF561;USP7;SMARCC2;ANAPC7;KCTD1;RUNX2;ZNF717;SCO2;PSME4;PSME1;ZNF317;ZNF432;ANAPC1;ZNF398;BLK;BLM;ZNF790;MAPKAP1;CTR9;GATA3;FOXO1;SOCS3;ZKSCAN8;ZNF549;ZNF669;SMYD2;ZNF544;ZNF420;NFE2;PHC2;PHC1;ZNF383;SMAD3;CBX5;SETD1B;SETD1A;NFATC2;ZNF34;SMARCA2;CNOT6;CNOT11;CDC16;INTS7;CDK12;THRB;NR2E1;MED17;ING5;SIN3A;ZNF649;CASP1;DGCR8;TNKS1BP1;NELFA;ZIK1;TGIF1;BRD2;BRD1;NCBP1;PARP1;MED26;ARID1B;WDR33;NCOR1;TFDP2;ZNF519;POLR1B;SGK1;SMARCD3;RNMT;ZNF3;PSMB10;WRN;LEO1;PMS2;ZNF624;ZNF585B;E2F6;ZNF286A;SMARCE1;MGA;SSRP1;RPRD2;MAPK14;GTF2H3;PSMB8;LRPPRC;PML;PSMB9;ZNF33B;TNRC6C;ZNF71;TAF3;TAF1;ZFP28
week_24,Week 24,MSigDB_Hallmark_2020,Generic Transcription Pathway R-HSA-212436,101/1190,1.0489423150537357e-07,4.328635286788416e-05,ZNF331;MDC1;ZNF571;NR3C2;CDC23;ZNF607;PPP2R1B;MYB;EPC1;MEN1;ZNF562;ZNF320;ZNF561;USP7;SMARCC2;ANAPC7;KCTD1;RUNX2;ZNF717;SCO2;PSME4;PSME1;ZNF317;ZNF432;ANAPC1;ZNF398;BLK;BLM;ZNF790;MAPKAP1;GATA3;FOXO1;SOCS3;ZKSCAN8;ZNF549;ZNF669;SMYD2;ZNF544;ZNF420;NFE2;PHC2;PHC1;ZNF383;SMAD3;CBX5;SETD1B;SETD1A;NFATC2;ZNF34;SMARCA2;CNOT6;CNOT11;CDC16;CDK12;THRB;NR2E1;MED17;ING5;SIN3A;ZNF649;CASP1;DGCR8;TNKS1BP1;NELFA;ZIK1;TGIF1;BRD2;BRD1;PARP1;MED26;ARID1B;NCOR1;TFDP2;ZNF519;POLR1B;SGK1;SMARCD3;RNMT;ZNF3;PSMB10;WRN;PMS2;ZNF624;ZNF585B;E2F6;ZNF286A;SMARCE1;MGA;SSRP1;MAPK14;GTF2H3;PSMB8;LRPPRC;PML;PSMB9;ZNF33B;TNRC6C;ZNF71;TAF3;TAF1;ZFP28
week_24,Week 24,MSigDB_Hallmark_2020,Metabolism Of RNA R-HSA-8953854,61/666,3.780513505685677e-06,0.0011700689300097,RBM28;NUP188;DDX46;PDCD7;WDR3;ADARB1;ELAVL1;WDR43;SMG6;PTBP1;LSM11;ENPP2;TNKS1BP1;RIOK1;AQR;NCBP1;NSUN2;TEX10;CDKAL1;PUS7;WBP11;FTSJ1;SENP3;WDR33;PRPF4;DKC1;PSME4;PSME1;GEMIN5;RNMT;DHX9;HEATR1;DDX20;NOL9;THADA;GSPT2;NUP160;PSMB10;PDCD11;NUP85;BMS1;TYW1;UTP20;HNRNPA0;RANBP2;UTP6;NOP14;NUP155;ADAT1;RRP1B;GTF2H3;MAPK14;PSMB8;TRIT1;PSMB9;CNOT6;XPOT;CNOT11;TRMT5;TSR1;NOL11
week_24,Week 24,MSigDB_Hallmark_2020,Cytokine Signaling In Immune System R-HSA-1280215,61/702,1.9218595967805275e-05,0.0037240774763178,IFITM3;IFITM1;IFITM2;NUP188;IRS1;IL24;UBE2L6;IL27;IFI35;TNFRSF13C;IFI30;IL27RA;PPP2R1B;RPS6KA2;BLNK;CASP1;BTRC;JAK3;TRIM21;GBP6;GBP5;DUSP3;HLA-B;VAV1;TNFRSF1A;HLA-E;MTAP;IRF1;PSME4;PSME1;ALPK1;AURKAIP1;S100A9;USP14;FPR1;GATA3;FOXO1;NUP160;PSMB10;SOCS3;NUP85;S1PR1;MAP2K7;FCGR1A;GBP2;GBP1;GSDMD;STAT5A;RANBP2;HSPA9;SMAD3;NUP155;PTPN13;MAPK14;PSMB8;PML;PSMB9;LTBR;FGF13;IL7R;EIF4G2
week_24,Week 24,MSigDB_Hallmark_2020,SUMOylation R-HSA-2990846,23/174,1.9798424486375428e-05,0.0037240774763178,RANBP2;MDC1;TOP2B;BLM;DNMT1;PHC2;CBX5;PHC1;THRB;NUP188;NUP155;PARP1;XPC;NUP160;PML;NR3C2;WRN;NUP85;SIN3A;INCENP;UBA2;PMEPA1;TP53BP1
week_24,Week 24,MSigDB_Hallmark_2020,SUMOylation Of DNA Damage Response And Repair Proteins R-HSA-3108214,14/76,2.105698088386513e-05,0.0037240774763178,RANBP2;MDC1;BLM;PHC2;PHC1;NUP188;PARP1;NUP155;XPC;NUP160;PML;WRN;NUP85;PMEPA1
week_24,Week 24,MSigDB_Hallmark_2020,SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,22/168,3.4454281368643295e-05,0.0053318000417975,RANBP2;MDC1;TOP2B;BLM;DNMT1;PHC2;CBX5;PHC1;THRB;NUP188;NUP155;PARP1;XPC;NUP160;PML;NR3C2;WRN;NUP85;SIN3A;INCENP;PMEPA1;TP53BP1
week_24,Week 24,MSigDB_Hallmark_2020,Interferon Signaling R-HSA-913531,24/200,6.508125602003565e-05,0.0089522883280893,IFITM3;GBP6;RANBP2;GBP5;IFITM1;IFITM2;NUP188;NUP155;HLA-B;UBE2L6;IFI35;IFI30;PSMB8;NUP160;PML;HLA-E;SOCS3;NUP85;IRF1;FCGR1A;GBP2;TRIM21;GBP1;EIF4G2
week_24,Week 24,MSigDB_Hallmark_2020,Transcriptional Regulation By RUNX1 R-HSA-8878171,24/204,8.916046225492282e-05,0.0110380652271594,BLK;SMARCE1;NFE2;PHC2;SMARCC2;PHC1;SMARCD3;SETD1B;SETD1A;NFATC2;GATA3;SMARCA2;ARID1B;RUNX2;PSMB8;PSMB10;PML;PSMB9;TNRC6C;SOCS3;SIN3A;MYB;PSME4;PSME1
