arm,arm_label,gene_set,term,overlap,p_value,adjusted_p,genes
DX,Pre-treatment,GO_Biological_Process_2023,Unfolded Protein Response (UPR) R-HSA-381119,3/89,0.0014352931477222,0.1829637560594442,CREB3L4;HYOU1;SEC31A
DX,Pre-treatment,GO_Biological_Process_2023,XBP1(S) Activates Chaperone Genes R-HSA-381038,2/46,0.0059097422436154,0.1829637560594442,HYOU1;SEC31A
DX,Pre-treatment,GO_Biological_Process_2023,IRE1alpha Activates Chaperones R-HSA-381070,2/48,0.0064203200925442,0.1829637560594442,HYOU1;SEC31A
DX,Pre-treatment,GO_Biological_Process_2023,Cilium Assembly R-HSA-5617833,3/186,0.0112603660625242,0.1829637560594442,ALMS1;EXOC4;CKAP5
DX,Pre-treatment,GO_Biological_Process_2023,Mitotic Prometaphase R-HSA-68877,3/186,0.0112603660625242,0.1829637560594442,ALMS1;SMC1A;CKAP5
DX,Pre-treatment,GO_Biological_Process_2023,Fatty Acid Cycling Model R-HSA-167826,1/5,0.0124387771927725,0.1829637560594442,UCP2
DX,Pre-treatment,GO_Biological_Process_2023,RHOT1 GTPase Cycle R-HSA-9013425,1/5,0.0124387771927725,0.1829637560594442,RAP1GDS1
DX,Pre-treatment,GO_Biological_Process_2023,Diseases Of Mismatch Repair (MMR) R-HSA-5423599,1/5,0.0124387771927725,0.1829637560594442,MSH6
DX,Pre-treatment,GO_Biological_Process_2023,RHOB GTPase Cycle R-HSA-9013026,2/69,0.0129153730394233,0.1829637560594442,ARHGAP32;VAV2
DX,Pre-treatment,GO_Biological_Process_2023,Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,2/69,0.0129153730394233,0.1829637560594442,ALMS1;CKAP5
DX,Pre-treatment,GO_Biological_Process_2023,AURKA Activation By TPX2 R-HSA-8854518,2/72,0.0140048037295852,0.1829637560594442,ALMS1;CKAP5
DX,Pre-treatment,GO_Biological_Process_2023,RHOC GTPase Cycle R-HSA-9013106,2/73,0.0143765335552059,0.1829637560594442,ARHGAP32;VAV2
DX,Pre-treatment,GO_Biological_Process_2023,RHOG GTPase Cycle R-HSA-9013408,2/74,0.0147525184670075,0.1829637560594442,ARHGAP32;VAV2
DX,Pre-treatment,GO_Biological_Process_2023,Molybdenum Cofactor Biosynthesis R-HSA-947581,1/6,0.0149082847993736,0.1829637560594442,GPHN
DX,Pre-treatment,GO_Biological_Process_2023,Mitochondrial Uncoupling R-HSA-166187,1/6,0.0149082847993736,0.1829637560594442,UCP2
day_7,Day 7,GO_Biological_Process_2023,Sensory Processing Of Sound By Outer Hair Cells Of Cochlea R-HSA-9662361,2/53,0.0074825779929044,0.2225385411764516,MYO15A;EPS8L2
day_7,Day 7,GO_Biological_Process_2023,Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360,2/67,0.0117475193366298,0.2225385411764516,MYO15A;EPS8L2
day_7,Day 7,GO_Biological_Process_2023,Leukotriene Receptors R-HSA-391906,1/5,0.0121912198306986,0.2225385411764516,LTB4R
day_7,Day 7,GO_Biological_Process_2023,Sensory Processing Of Sound R-HSA-9659379,2/75,0.0145624098315061,0.2225385411764516,MYO15A;EPS8L2
day_7,Day 7,GO_Biological_Process_2023,Sensory Perception Of Salty Taste R-HSA-9730628,1/6,0.0146119438121658,0.2225385411764516,CALHM1
day_7,Day 7,GO_Biological_Process_2023,Synthesis Of Ketone Bodies R-HSA-77111,1/8,0.0194359741846122,0.2225385411764516,AACS
day_7,Day 7,GO_Biological_Process_2023,VEGF Binds To VEGFR Leading To Receptor Dimerization R-HSA-195399,1/8,0.0194359741846122,0.2225385411764516,VEGFB
day_7,Day 7,GO_Biological_Process_2023,Antimicrobial Peptides R-HSA-6803157,2/89,0.0201095642310554,0.2225385411764516,CCR6;PGLYRP1
day_7,Day 7,GO_Biological_Process_2023,RHO GTPases Activate Rhotekin And Rhophilins R-HSA-5666185,1/9,0.0218393074841168,0.2225385411764516,LIN7B
day_7,Day 7,GO_Biological_Process_2023,Ketone Body Metabolism R-HSA-74182,1/10,0.0242368708211977,0.2225385411764516,AACS
day_7,Day 7,GO_Biological_Process_2023,"Tetrahydrobiopterin (BH4) Synthesis, Recycling, Salvage And Regulation R-HSA-1474151",1/10,0.0242368708211977,0.2225385411764516,GCHFR
day_7,Day 7,GO_Biological_Process_2023,Dermatan Sulfate Biosynthesis R-HSA-2022923,1/11,0.0266286776759158,0.2241247037722914,UST
