arm,arm_label,ensembl,gene_symbol,degree,mean_abs_partial_correlation,graphical_lasso_alpha
DX,Pre-treatment,ENSG00000175567,UCP2,4,0.14524788986085949,0.35
DX,Pre-treatment,ENSG00000138674,SEC31A,4,0.18131102811905297,0.35
DX,Pre-treatment,ENSG00000127463,EMC1,4,0.14144395191548365,0.35
DX,Pre-treatment,ENSG00000114867,EIF4G1,3,0.17455689564290544,0.35
DX,Pre-treatment,ENSG00000149428,HYOU1,3,0.21801760122649996,0.35
DX,Pre-treatment,ENSG00000146463,ZMYM4,3,0.16633489562656137,0.35
DX,Pre-treatment,ENSG00000144468,RHBDD1,3,0.1585591714781194,0.35
DX,Pre-treatment,ENSG00000140391,TSPAN3,3,0.1665179798284168,0.35
DX,Pre-treatment,ENSG00000110514,MADD,3,0.1600355608126144,0.35
DX,Pre-treatment,ENSG00000160194,NDUFV3,2,0.14471248907021847,0.35
DX,Pre-treatment,ENSG00000089876,DHX32,2,0.1527656046695972,0.35
DX,Pre-treatment,ENSG00000170873,MTSS1,2,0.13967254017876654,0.35
DX,Pre-treatment,ENSG00000134910,STT3A,1,0.36548348298178934,0.35
DX,Pre-treatment,ENSG00000272079,LA16c-380H5.5,1,0.14804250167848115,0.35
DX,Pre-treatment,ENSG00000008438,PGLYRP1,1,0.15719183985523594,0.35
DX,Pre-treatment,ENSG00000134897,BIVM,1,0.14511974179882925,0.35
DX,Pre-treatment,ENSG00000072501,SMC1A,1,0.13214885294281714,0.35
DX,Pre-treatment,ENSG00000160013,PTGIR,1,0.12675588454547265,0.35
DX,Pre-treatment,ENSG00000173230,GOLGB1,1,0.13214885294281714,0.35
DX,Pre-treatment,ENSG00000171723,GPHN,1,0.12281886680628863,0.35
DX,Pre-treatment,ENSG00000131558,EXOC4,1,0.15840255118781207,0.35
DX,Pre-treatment,ENSG00000164037,SLC9B1,1,0.18507419497962055,0.35
DX,Pre-treatment,ENSG00000124785,NRN1,0,0.0,0.35
DX,Pre-treatment,ENSG00000272636,DOC2B,0,0.0,0.35
day_7,Day 7,ENSG00000081760,AACS,4,0.15238763382733644,0.35
day_7,Day 7,ENSG00000197362,ZNF786,4,0.1491307117039232,0.35
day_7,Day 7,ENSG00000173511,VEGFB,4,0.17464558811096942,0.35
day_7,Day 7,ENSG00000008517,IL32,3,0.14907491708957532,0.35
day_7,Day 7,ENSG00000105289,TJP3,3,0.17205110854980854,0.35
day_7,Day 7,ENSG00000177106,EPS8L2,3,0.1614606908363576,0.35
day_7,Day 7,ENSG00000128594,LRRC4,3,0.1714234432916546,0.35
day_7,Day 7,ENSG00000198960,ARMCX6,2,0.1756214902740964,0.35
day_7,Day 7,ENSG00000108405,P2RX1,2,0.12884142752080435,0.35
day_7,Day 7,ENSG00000148120,C9orf3,2,0.1677557749715634,0.35
day_7,Day 7,ENSG00000065054,SLC9A3R2,1,0.17885396368914974,0.35
day_7,Day 7,ENSG00000101000,PROCR,1,0.12856234385406173,0.35
day_7,Day 7,ENSG00000185933,CALHM1,1,0.12276030441918828,0.35
day_7,Day 7,ENSG00000075275,CELSR1,1,0.14907590861789938,0.35
day_7,Day 7,ENSG00000167333,TRIM68,1,0.17788432474932345,0.35
day_7,Day 7,ENSG00000008438,PGLYRP1,1,0.19035525330368455,0.35
day_7,Day 7,ENSG00000269963,ENSG00000269963,0,0.0,0.35
day_7,Day 7,ENSG00000178665,ZNF713,0,0.0,0.35
day_7,Day 7,ENSG00000163687,DNASE1L3,0,0.0,0.35
day_7,Day 7,ENSG00000182362,YBEY,0,0.0,0.35
day_7,Day 7,ENSG00000263740,RN7SL4P,0,0.0,0.35
