arm,arm_label,ensembl,gene_symbol,mean_abs_shap,shap_direction_high_expression,univariate_F,rank
DX,Pre-treatment,ENSG00000134910,STT3A,1.2583867,-0.4375885284871386,21.14409563031308,1
DX,Pre-treatment,ENSG00000272079,LA16c-380H5.5,0.82236075,0.7502593410081406,11.409892764413437,2
DX,Pre-treatment,ENSG00000175567,UCP2,0.7033058,-0.6626490877865722,13.908327097799672,3
DX,Pre-treatment,ENSG00000008438,PGLYRP1,0.58061254,0.35835940163815516,11.6181031485502,4
DX,Pre-treatment,ENSG00000124785,NRN1,0.53681916,0.8963026162392472,11.118239568805683,5
DX,Pre-treatment,ENSG00000134897,BIVM,0.447466,-0.7441021968331835,11.309332330354142,6
DX,Pre-treatment,ENSG00000072501,SMC1A,0.4095201,-0.6265186875930683,11.266338561034512,7
DX,Pre-treatment,ENSG00000160194,NDUFV3,0.3941764,-0.5322916960918908,12.819353036767561,8
DX,Pre-treatment,ENSG00000160013,PTGIR,0.3677588,-0.7169835362228785,15.865170773600585,9
DX,Pre-treatment,ENSG00000114867,EIF4G1,0.24989595,-0.5173155279134749,11.393075378582731,10
DX,Pre-treatment,ENSG00000173230,GOLGB1,0.22499144,-0.7974906166666781,13.292745461795757,11
DX,Pre-treatment,ENSG00000149428,HYOU1,0.13302404,-0.6036835636282956,16.77261392902121,12
DX,Pre-treatment,ENSG00000171723,GPHN,0.12277903,0.02410914230980938,11.763520395797391,13
DX,Pre-treatment,ENSG00000272636,DOC2B,0.112799965,0.6499656272284525,15.00082615678831,14
DX,Pre-treatment,ENSG00000131558,EXOC4,0.053564586,-0.2400704030798699,12.66836855985859,15
DX,Pre-treatment,ENSG00000146463,ZMYM4,0.049317904,-0.3118286631862603,11.269847094112546,16
DX,Pre-treatment,ENSG00000144468,RHBDD1,0.04711437,0.16545599022764435,11.874354121782876,17
DX,Pre-treatment,ENSG00000140391,TSPAN3,0.03668487,0.19414828212511484,11.156539386189161,18
DX,Pre-treatment,ENSG00000110514,MADD,0.036222573,0.7587267394638849,11.88666990268579,19
DX,Pre-treatment,ENSG00000138674,SEC31A,0.029894723,0.043082246032731836,13.349769789092976,20
DX,Pre-treatment,ENSG00000127463,EMC1,0.028490573,-0.2896003211780372,13.679264096502962,21
DX,Pre-treatment,ENSG00000089876,DHX32,0.026307397,-0.3569137090679774,12.939914524424562,22
DX,Pre-treatment,ENSG00000170873,MTSS1,0.025477316,0.7545919364628185,11.834850793531224,23
DX,Pre-treatment,ENSG00000164037,SLC9B1,0.024396218,-0.5851969270649725,12.053995614771823,24
DX,Pre-treatment,ENSG00000143493,INTS7,0.024371723,0.8418173520193597,11.559033086389572,25
DX,Pre-treatment,ENSG00000197157,SND1,0.02200577,0.678001755923018,12.233885373912905,26
DX,Pre-treatment,ENSG00000100077,ADRBK2,0.02100578,-0.27378362694070535,11.08851266878905,27
DX,Pre-treatment,ENSG00000134909,ARHGAP32,0.020088054,-0.3228060487298622,12.29640535507366,28
DX,Pre-treatment,ENSG00000160293,VAV2,0.018247446,0.7056974675342749,11.49019212680639,29
DX,Pre-treatment,ENSG00000128908,INO80,0.016949326,0.4187906533624563,11.113965047688298,30
DX,Pre-treatment,ENSG00000117593,DARS2,0.016124394,0.7739896426973587,11.577597592287121,31
DX,Pre-treatment,ENSG00000175216,CKAP5,0.011245887,-0.15603742418662345,13.045747423169578,32
DX,Pre-treatment,ENSG00000171603,CLSTN1,0.011245634,0.7555204902983436,12.49305371411832,33
DX,Pre-treatment,ENSG00000124942,AHNAK,0.0110973455,0.6883604778839544,11.883437015955495,34
DX,Pre-treatment,ENSG00000085511,MAP3K4,0.010503722,0.6095040456481314,11.152519487554999,35
DX,Pre-treatment,ENSG00000136813,KIAA0368,0.008466402,-0.23102296784008464,12.311393181149626,36
DX,Pre-treatment,ENSG00000082805,ERC1,0.008092856,0.03594889116961353,11.043130047452577,37
DX,Pre-treatment,ENSG00000163399,ATP1A1,0.007896818,-0.5313015341000188,12.800470689133402,38
DX,Pre-treatment,ENSG00000154309,DISP1,0.006706018,0.2527761968525678,12.049709303710362,39
DX,Pre-treatment,ENSG00000128829,EIF2AK4,0.004706842,0.5499978638365732,11.432661751240197,40
DX,Pre-treatment,ENSG00000116062,MSH6,0.004290938,-0.3425499659546566,11.806849956941083,41
DX,Pre-treatment,ENSG00000163214,DHX57,0.0027453937,-0.2861943936569143,12.34351573281922,42
DX,Pre-treatment,ENSG00000116127,ALMS1,0.0,0.0,11.425844957427934,43
DX,Pre-treatment,ENSG00000143578,CREB3L4,0.0,0.0,15.128595998880407,44
DX,Pre-treatment,ENSG00000175198,PCCA,0.0,0.0,13.718208657956202,45
DX,Pre-treatment,ENSG00000009954,BAZ1B,0.0,0.0,11.334169735815996,46
DX,Pre-treatment,ENSG00000138698,RAP1GDS1,0.0,0.0,12.40980309895857,47
DX,Pre-treatment,ENSG00000185024,BRF1,0.0,0.0,11.53880579359174,48
DX,Pre-treatment,ENSG00000124228,DDX27,0.0,0.0,11.532963126591621,49
DX,Pre-treatment,ENSG00000138758,SEPT11,0.0,0.0,11.100896135203117,50
day_7,Day 7,ENSG00000269963,ENSG00000269963,1.1822734,-0.47806768310004505,11.343875690431535,1
day_7,Day 7,ENSG00000065054,SLC9A3R2,0.95702326,-0.29635241917576277,13.819899088524961,2
day_7,Day 7,ENSG00000178665,ZNF713,0.6156547,-0.33819598665066386,9.616227002607538,3
day_7,Day 7,ENSG00000101000,PROCR,0.46273744,-0.29358935270725783,14.852477686917867,4
day_7,Day 7,ENSG00000081760,AACS,0.29404575,-0.11446446142009742,8.87583408332228,5
day_7,Day 7,ENSG00000185933,CALHM1,0.28708604,-0.6523105364494916,11.914720738098168,6
day_7,Day 7,ENSG00000008517,IL32,0.2257871,-0.46244797619735456,9.430698345708908,7
day_7,Day 7,ENSG00000105289,TJP3,0.21829806,-0.38296596866808036,9.710951265974982,8
day_7,Day 7,ENSG00000163687,DNASE1L3,0.20304447,-0.6076644372223802,11.663080120989438,9
day_7,Day 7,ENSG00000182362,YBEY,0.19610383,-0.2965120968540438,12.205094013831074,10
day_7,Day 7,ENSG00000263740,RN7SL4P,0.17495453,0.9243794652923252,11.924195811112252,11
day_7,Day 7,ENSG00000198960,ARMCX6,0.17090522,-0.36746204044338987,8.99322796639073,12
day_7,Day 7,ENSG00000075275,CELSR1,0.16309924,-0.5115982936321236,9.845150679003376,13
day_7,Day 7,ENSG00000227740,RP11-318C24.2,0.16082582,0.8676321970584339,9.588462809334322,14
day_7,Day 7,ENSG00000197362,ZNF786,0.1483654,-0.3451277666771796,11.061587512396839,15
day_7,Day 7,ENSG00000167333,TRIM68,0.14464673,-0.18056498369891386,9.04226522638691,16
day_7,Day 7,ENSG00000108405,P2RX1,0.13575856,0.7674157079623806,9.260201587641186,17
day_7,Day 7,ENSG00000177106,EPS8L2,0.111610524,-0.3568619715927833,10.359564785473282,18
day_7,Day 7,ENSG00000231435,AC011747.3,0.10707807,0.5965791753807198,18.100339473789674,19
day_7,Day 7,ENSG00000173511,VEGFB,0.10597995,-0.5034621054368261,9.790587269209004,20
day_7,Day 7,ENSG00000124785,NRN1,0.094470024,0.40136604451023183,13.050389175523337,21
day_7,Day 7,ENSG00000128594,LRRC4,0.085153796,0.6704057006909444,9.259604547255352,22
day_7,Day 7,ENSG00000008438,PGLYRP1,0.07421351,0.6021097325706817,9.087647033242277,23
day_7,Day 7,ENSG00000148120,C9orf3,0.057181012,-0.3027914136330939,10.07764537149325,24
day_7,Day 7,ENSG00000112486,CCR6,0.048423436,-0.632492562634915,9.812024335580762,25
day_7,Day 7,ENSG00000165626,BEND7,0.044819288,0.5445377726599324,9.31263720237766,26
day_7,Day 7,ENSG00000272636,DOC2B,0.03785599,0.48998297206016317,19.061204084095593,27
day_7,Day 7,ENSG00000213903,LTB4R,0.034483526,0.7145020714874014,9.081500912242431,28
day_7,Day 7,ENSG00000079156,OSBPL6,0.03356099,0.7498595719504234,11.442832477469427,29
day_7,Day 7,ENSG00000171497,PPID,0.033062022,-0.4537685125689916,10.007286698507421,30
day_7,Day 7,ENSG00000091536,MYO15A,0.032621708,-0.46174744432550696,9.244715504470069,31
day_7,Day 7,ENSG00000241404,EGFL8,0.029044062,-0.5860701842523345,9.652229980315557,32
day_7,Day 7,ENSG00000133574,GIMAP4,0.026084688,-0.5893425099535051,12.704629692274336,33
day_7,Day 7,ENSG00000175575,PAAF1,0.024190795,-0.31595784858176146,10.24455672465886,34
day_7,Day 7,ENSG00000010626,LRRC23,0.019041434,-0.49840438592945263,9.93437286006238,35
day_7,Day 7,ENSG00000137880,GCHFR,0.017104518,-0.20557558755280092,9.231015619454586,36
day_7,Day 7,ENSG00000114988,LMAN2L,0.012396184,-0.17196808758575638,12.04079688646337,37
day_7,Day 7,ENSG00000104863,LIN7B,0.011627649,-0.5170989309095757,9.981976476894426,38
day_7,Day 7,ENSG00000117016,RIMS3,0.010771205,-0.10646937118804035,10.55391732553898,39
day_7,Day 7,ENSG00000124507,PACSIN1,0.008562444,-0.18485983693660776,8.898126992231237,40
day_7,Day 7,ENSG00000119673,ACOT2,0.007979862,-0.5164536644846128,8.972715719106516,41
day_7,Day 7,ENSG00000111962,UST,0.0067894137,-0.2486519007189455,10.262740379590644,42
day_7,Day 7,ENSG00000140545,MFGE8,0.0067058057,-0.41101280671027035,11.427517640712159,43
day_7,Day 7,ENSG00000117597,DIEXF,0.0065986854,0.7252466780634623,9.32023418594281,44
day_7,Day 7,ENSG00000140950,TLDC1,0.004905816,-0.05111930957892034,9.602099333761712,45
day_7,Day 7,ENSG00000184967,NOC4L,0.0030199168,-0.238169564484313,8.98244042114133,46
day_7,Day 7,ENSG00000267673,FDX1L,0.0,0.0,11.364284767691583,47
day_7,Day 7,ENSG00000128928,IVD,0.0,0.0,9.889227553119012,48
day_7,Day 7,ENSG00000271043,MTRNR2L2,0.0,0.0,11.01222685923551,49
day_7,Day 7,ENSG00000160602,NEK8,0.0,0.0,9.580760724042742,50
week_4,Week 4,ENSG00000147465,STAR,0.90759856,0.5931277932710222,13.286849184568505,1
week_4,Week 4,ENSG00000151532,VTI1A,0.8294193,-0.7232507870019126,8.938855739894672,2
week_4,Week 4,ENSG00000187808,SOWAHD,0.80495346,0.8349644745156667,20.528035854612835,3
week_4,Week 4,ENSG00000100362,PVALB,0.6478514,0.6062443889141935,11.324435142478112,4
week_4,Week 4,ENSG00000143344,RGL1,0.5365766,-0.6849253841068859,9.38512702550718,5
week_4,Week 4,ENSG00000148053,NTRK2,0.30561742,0.8535495207696696,9.978010728669423,6
week_4,Week 4,ENSG00000004059,ARF5,0.21280776,0.7584133003086722,11.220199629204293,7
week_4,Week 4,ENSG00000183784,C9orf66,0.21243414,0.4410783074597812,10.097760045287814,8
week_4,Week 4,ENSG00000213654,GPSM3,0.19622055,0.19592465482802163,10.69631130387327,9
week_4,Week 4,ENSG00000138758,SEPT11,0.17220737,-0.28470541759430756,11.044324184833416,10
week_4,Week 4,ENSG00000141068,KSR1,0.17078534,-0.6384233928191351,8.965624732992751,11
week_4,Week 4,ENSG00000133835,HSD17B4,0.16834904,-0.7826780604824145,11.414769018109535,12
week_4,Week 4,ENSG00000237372,UNQ6494,0.1593436,0.4962540483073878,13.509705136523364,13
week_4,Week 4,ENSG00000269524,CTB-83J4.1,0.14166854,0.8690619953499754,9.581877285351235,14
week_4,Week 4,ENSG00000148450,MSRB2,0.12785433,0.3610419439254553,12.572151843539617,15
week_4,Week 4,ENSG00000134531,EMP1,0.12729794,-0.8616708925493518,9.282871725997678,16
week_4,Week 4,ENSG00000131165,CHMP1A,0.12137599,0.7383976786971402,10.762684160411268,17
week_4,Week 4,ENSG00000088854,C20orf194,0.1147364,-0.6697703959547464,9.002444748216128,18
week_4,Week 4,ENSG00000152127,MGAT5,0.10112575,0.16039392129104937,11.603292553952498,19
week_4,Week 4,ENSG00000188316,ENO4,0.10054924,0.8740858336375705,11.046811794022513,20
week_4,Week 4,ENSG00000171723,GPHN,0.092112325,-0.6341407387040962,10.88940957021636,21
week_4,Week 4,ENSG00000173239,LIPM,0.09029131,-0.5923387770176433,11.627758918673953,22
week_4,Week 4,ENSG00000128829,EIF2AK4,0.07683503,-0.6960325850119419,10.980231012257773,23
week_4,Week 4,ENSG00000132842,AP3B1,0.07363773,-0.7515749597065768,10.27137217299001,24
week_4,Week 4,ENSG00000175756,AURKAIP1,0.07323645,0.5813400247216596,13.846444106593768,25
week_4,Week 4,ENSG00000167578,RAB4B,0.06430909,0.7666708656927319,15.605846477077389,26
week_4,Week 4,ENSG00000079482,OPHN1,0.04962124,-0.3070847170598359,8.989875066818817,27
week_4,Week 4,ENSG00000075240,GRAMD4,0.04604659,-0.6145338450678275,9.618364159857915,28
week_4,Week 4,ENSG00000082014,SMARCD3,0.045627076,-0.5478860936756512,10.784290055793097,29
week_4,Week 4,ENSG00000124785,NRN1,0.041628715,-0.061655147275209904,9.065762710384774,30
week_4,Week 4,ENSG00000157873,TNFRSF14,0.040634114,0.8025377525022657,18.556793450559205,31
week_4,Week 4,ENSG00000163154,TNFAIP8L2,0.040581256,0.751567453086069,10.511198175653378,32
week_4,Week 4,ENSG00000126246,IGFLR1,0.04041311,-0.5267906077283534,9.24540134142999,33
week_4,Week 4,ENSG00000179241,LDLRAD3,0.0359257,-0.7298761555290351,8.93587871891619,34
week_4,Week 4,ENSG00000205155,PSENEN,0.034691595,-0.20870671681044825,9.600924252763669,35
