arm,arm_label,gene_set,term,overlap,p_value,adjusted_p,genes
DX,Pre-treatment,GO_Biological_Process_2023,Unfolded Protein Response (UPR) R-HSA-381119,3/89,0.0014352931477222,0.1829637560594442,CREB3L4;HYOU1;SEC31A
DX,Pre-treatment,KEGG_2021_Human,Unfolded Protein Response (UPR) R-HSA-381119,3/89,0.0014352931477222,0.1829637560594442,CREB3L4;HYOU1;SEC31A
DX,Pre-treatment,GO_Biological_Process_2023,XBP1(S) Activates Chaperone Genes R-HSA-381038,2/46,0.0059097422436154,0.1829637560594442,HYOU1;SEC31A
DX,Pre-treatment,KEGG_2021_Human,XBP1(S) Activates Chaperone Genes R-HSA-381038,2/46,0.0059097422436154,0.1829637560594442,HYOU1;SEC31A
DX,Pre-treatment,GO_Biological_Process_2023,IRE1alpha Activates Chaperones R-HSA-381070,2/48,0.0064203200925442,0.1829637560594442,HYOU1;SEC31A
DX,Pre-treatment,KEGG_2021_Human,IRE1alpha Activates Chaperones R-HSA-381070,2/48,0.0064203200925442,0.1829637560594442,HYOU1;SEC31A
DX,Pre-treatment,KEGG_2021_Human,Mitotic Prometaphase R-HSA-68877,3/186,0.0112603660625242,0.1829637560594442,ALMS1;SMC1A;CKAP5
DX,Pre-treatment,GO_Biological_Process_2023,Cilium Assembly R-HSA-5617833,3/186,0.0112603660625242,0.1829637560594442,ALMS1;EXOC4;CKAP5
DX,Pre-treatment,GO_Biological_Process_2023,Mitotic Prometaphase R-HSA-68877,3/186,0.0112603660625242,0.1829637560594442,ALMS1;SMC1A;CKAP5
DX,Pre-treatment,KEGG_2021_Human,Cilium Assembly R-HSA-5617833,3/186,0.0112603660625242,0.1829637560594442,ALMS1;EXOC4;CKAP5
DX,Pre-treatment,KEGG_2021_Human,Diseases Of Mismatch Repair (MMR) R-HSA-5423599,1/5,0.0124387771927725,0.1829637560594442,MSH6
DX,Pre-treatment,KEGG_2021_Human,RHOT1 GTPase Cycle R-HSA-9013425,1/5,0.0124387771927725,0.1829637560594442,RAP1GDS1
DX,Pre-treatment,KEGG_2021_Human,Fatty Acid Cycling Model R-HSA-167826,1/5,0.0124387771927725,0.1829637560594442,UCP2
DX,Pre-treatment,GO_Biological_Process_2023,Fatty Acid Cycling Model R-HSA-167826,1/5,0.0124387771927725,0.1829637560594442,UCP2
DX,Pre-treatment,GO_Biological_Process_2023,RHOT1 GTPase Cycle R-HSA-9013425,1/5,0.0124387771927725,0.1829637560594442,RAP1GDS1
day_7,Day 7,GO_Biological_Process_2023,Sensory Processing Of Sound By Outer Hair Cells Of Cochlea R-HSA-9662361,2/53,0.0074825779929044,0.2225385411764516,MYO15A;EPS8L2
day_7,Day 7,Reactome_2022,Sensory Processing Of Sound By Outer Hair Cells Of Cochlea R-HSA-9662361,2/53,0.0074825779929044,0.2225385411764516,MYO15A;EPS8L2
day_7,Day 7,MSigDB_Hallmark_2020,Sensory Processing Of Sound By Outer Hair Cells Of Cochlea R-HSA-9662361,2/53,0.0074825779929044,0.2225385411764516,MYO15A;EPS8L2
day_7,Day 7,GO_Biological_Process_2023,Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360,2/67,0.0117475193366298,0.2225385411764516,MYO15A;EPS8L2
day_7,Day 7,Reactome_2022,Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360,2/67,0.0117475193366298,0.2225385411764516,MYO15A;EPS8L2
day_7,Day 7,MSigDB_Hallmark_2020,Sensory Processing Of Sound By Inner Hair Cells Of Cochlea R-HSA-9662360,2/67,0.0117475193366298,0.2225385411764516,MYO15A;EPS8L2
day_7,Day 7,GO_Biological_Process_2023,Leukotriene Receptors R-HSA-391906,1/5,0.0121912198306986,0.2225385411764516,LTB4R
day_7,Day 7,Reactome_2022,Leukotriene Receptors R-HSA-391906,1/5,0.0121912198306986,0.2225385411764516,LTB4R
day_7,Day 7,MSigDB_Hallmark_2020,Leukotriene Receptors R-HSA-391906,1/5,0.0121912198306986,0.2225385411764516,LTB4R
day_7,Day 7,GO_Biological_Process_2023,Sensory Processing Of Sound R-HSA-9659379,2/75,0.0145624098315061,0.2225385411764516,MYO15A;EPS8L2
day_7,Day 7,Reactome_2022,Sensory Processing Of Sound R-HSA-9659379,2/75,0.0145624098315061,0.2225385411764516,MYO15A;EPS8L2
day_7,Day 7,MSigDB_Hallmark_2020,Sensory Processing Of Sound R-HSA-9659379,2/75,0.0145624098315061,0.2225385411764516,MYO15A;EPS8L2
day_7,Day 7,MSigDB_Hallmark_2020,Sensory Perception Of Salty Taste R-HSA-9730628,1/6,0.0146119438121658,0.2225385411764516,CALHM1
day_7,Day 7,GO_Biological_Process_2023,Sensory Perception Of Salty Taste R-HSA-9730628,1/6,0.0146119438121658,0.2225385411764516,CALHM1
day_7,Day 7,Reactome_2022,Sensory Perception Of Salty Taste R-HSA-9730628,1/6,0.0146119438121658,0.2225385411764516,CALHM1
week_4,Week 4,KEGG_2021_Human,Aryl Hydrocarbon Receptor Signaling R-HSA-8937144,2/7,0.0001225173273092752,0.0367551981927825,AHR;AURKAIP1
week_4,Week 4,GO_Biological_Process_2023,Aryl Hydrocarbon Receptor Signaling R-HSA-8937144,2/7,0.0001225173273092752,0.0367551981927825,AHR;AURKAIP1
week_4,Week 4,MSigDB_Hallmark_2020,Aryl Hydrocarbon Receptor Signaling R-HSA-8937144,2/7,0.0001225173273092752,0.0367551981927825,AHR;AURKAIP1
week_4,Week 4,Reactome_2022,Aryl Hydrocarbon Receptor Signaling R-HSA-8937144,2/7,0.0001225173273092752,0.0367551981927825,AHR;AURKAIP1
week_4,Week 4,KEGG_2021_Human,Signaling By NOTCH4 R-HSA-9013694,3/81,0.0010309329531643,0.0608830992173578,PSENEN;PSME1;PSMB10
week_4,Week 4,GO_Biological_Process_2023,Signaling By NOTCH4 R-HSA-9013694,3/81,0.0010309329531643,0.0608830992173578,PSENEN;PSME1;PSMB10
week_4,Week 4,Reactome_2022,Signaling By NOTCH4 R-HSA-9013694,3/81,0.0010309329531643,0.0608830992173578,PSENEN;PSME1;PSMB10
week_4,Week 4,MSigDB_Hallmark_2020,Signaling By NOTCH4 R-HSA-9013694,3/81,0.0010309329531643,0.0608830992173578,PSENEN;PSME1;PSMB10
week_4,Week 4,KEGG_2021_Human,ER-Phagosome Pathway R-HSA-1236974,3/89,0.0013535046054803,0.0608830992173578,HLA-B;PSME1;PSMB10
week_4,Week 4,Reactome_2022,ER-Phagosome Pathway R-HSA-1236974,3/89,0.0013535046054803,0.0608830992173578,HLA-B;PSME1;PSMB10
week_4,Week 4,GO_Biological_Process_2023,ER-Phagosome Pathway R-HSA-1236974,3/89,0.0013535046054803,0.0608830992173578,HLA-B;PSME1;PSMB10
week_4,Week 4,MSigDB_Hallmark_2020,ER-Phagosome Pathway R-HSA-1236974,3/89,0.0013535046054803,0.0608830992173578,HLA-B;PSME1;PSMB10
week_4,Week 4,Reactome_2022,Metabolism Of Proteins R-HSA-392499,12/1890,0.0016417028195185,0.0608830992173578,PSENEN;NRN1;LMAN2;MGAT5;HLA-B;STT3A;PSME1;MSRB2;AURKAIP1;CARS2;ARF5;PSMB10
week_4,Week 4,MSigDB_Hallmark_2020,Metabolism Of Proteins R-HSA-392499,12/1890,0.0016417028195185,0.0608830992173578,PSENEN;NRN1;LMAN2;MGAT5;HLA-B;STT3A;PSME1;MSRB2;AURKAIP1;CARS2;ARF5;PSMB10
week_4,Week 4,GO_Biological_Process_2023,Metabolism Of Proteins R-HSA-392499,12/1890,0.0016417028195185,0.0608830992173578,PSENEN;NRN1;LMAN2;MGAT5;HLA-B;STT3A;PSME1;MSRB2;AURKAIP1;CARS2;ARF5;PSMB10
week_24,Week 24,GO_Biological_Process_2023,Late SARS-CoV-2 Infection Events R-HSA-9772573,2/58,0.0092602829393189,0.2056127828955038,MGAT5;STT3A
week_24,Week 24,MSigDB_Hallmark_2020,Late SARS-CoV-2 Infection Events R-HSA-9772573,2/58,0.0092602829393189,0.2056127828955038,MGAT5;STT3A
week_24,Week 24,Reactome_2022,Late SARS-CoV-2 Infection Events R-HSA-9772573,2/58,0.0092602829393189,0.2056127828955038,MGAT5;STT3A
week_24,Week 24,KEGG_2021_Human,Late SARS-CoV-2 Infection Events R-HSA-9772573,2/58,0.0092602829393189,0.2056127828955038,MGAT5;STT3A
week_24,Week 24,Reactome_2022,Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482,2/62,0.0105265894654256,0.2056127828955038,HSP90AB1;FCGR1A
week_24,Week 24,MSigDB_Hallmark_2020,Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482,2/62,0.0105265894654256,0.2056127828955038,HSP90AB1;FCGR1A
week_24,Week 24,GO_Biological_Process_2023,Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482,2/62,0.0105265894654256,0.2056127828955038,HSP90AB1;FCGR1A
week_24,Week 24,KEGG_2021_Human,Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482,2/62,0.0105265894654256,0.2056127828955038,HSP90AB1;FCGR1A
week_24,Week 24,KEGG_2021_Human,Leukotriene Receptors R-HSA-391906,1/5,0.0124387771927725,0.2056127828955038,LTB4R
week_24,Week 24,KEGG_2021_Human,RUNX3 Regulates BCL2L11 (BIM) Transcription R-HSA-8952158,1/5,0.0124387771927725,0.2056127828955038,SMAD3
week_24,Week 24,MSigDB_Hallmark_2020,Leukotriene Receptors R-HSA-391906,1/5,0.0124387771927725,0.2056127828955038,LTB4R
week_24,Week 24,MSigDB_Hallmark_2020,RUNX3 Regulates BCL2L11 (BIM) Transcription R-HSA-8952158,1/5,0.0124387771927725,0.2056127828955038,SMAD3
week_24,Week 24,GO_Biological_Process_2023,RUNX3 Regulates BCL2L11 (BIM) Transcription R-HSA-8952158,1/5,0.0124387771927725,0.2056127828955038,SMAD3
week_24,Week 24,Reactome_2022,Leukotriene Receptors R-HSA-391906,1/5,0.0124387771927725,0.2056127828955038,LTB4R
week_24,Week 24,Reactome_2022,RUNX3 Regulates BCL2L11 (BIM) Transcription R-HSA-8952158,1/5,0.0124387771927725,0.2056127828955038,SMAD3
