arm,arm_label,ensembl,gene_symbol,mean_abs_shap,shap_direction_high_expression,univariate_F,rank
DX,Pre-treatment,ENSG00000134910,STT3A,1.2583867,-0.4375885284871386,21.14409563031308,1
DX,Pre-treatment,ENSG00000272079,LA16c-380H5.5,0.82236075,0.7502593410081406,11.409892764413437,2
DX,Pre-treatment,ENSG00000175567,UCP2,0.7033058,-0.6626490877865722,13.908327097799672,3
DX,Pre-treatment,ENSG00000008438,PGLYRP1,0.58061254,0.35835940163815516,11.6181031485502,4
DX,Pre-treatment,ENSG00000124785,NRN1,0.53681916,0.8963026162392472,11.118239568805683,5
DX,Pre-treatment,ENSG00000134897,BIVM,0.447466,-0.7441021968331835,11.309332330354142,6
DX,Pre-treatment,ENSG00000072501,SMC1A,0.4095201,-0.6265186875930683,11.266338561034512,7
DX,Pre-treatment,ENSG00000160194,NDUFV3,0.3941764,-0.5322916960918908,12.819353036767561,8
DX,Pre-treatment,ENSG00000160013,PTGIR,0.3677588,-0.7169835362228785,15.865170773600585,9
DX,Pre-treatment,ENSG00000114867,EIF4G1,0.24989595,-0.5173155279134749,11.393075378582731,10
DX,Pre-treatment,ENSG00000173230,GOLGB1,0.22499144,-0.7974906166666781,13.292745461795757,11
DX,Pre-treatment,ENSG00000149428,HYOU1,0.13302404,-0.6036835636282956,16.77261392902121,12
DX,Pre-treatment,ENSG00000171723,GPHN,0.12277903,0.02410914230980938,11.763520395797391,13
DX,Pre-treatment,ENSG00000272636,DOC2B,0.112799965,0.6499656272284525,15.00082615678831,14
DX,Pre-treatment,ENSG00000131558,EXOC4,0.053564586,-0.2400704030798699,12.66836855985859,15
DX,Pre-treatment,ENSG00000146463,ZMYM4,0.049317904,-0.3118286631862603,11.269847094112546,16
DX,Pre-treatment,ENSG00000144468,RHBDD1,0.04711437,0.16545599022764435,11.874354121782876,17
DX,Pre-treatment,ENSG00000140391,TSPAN3,0.03668487,0.19414828212511484,11.156539386189161,18
DX,Pre-treatment,ENSG00000110514,MADD,0.036222573,0.7587267394638849,11.88666990268579,19
DX,Pre-treatment,ENSG00000138674,SEC31A,0.029894723,0.043082246032731836,13.349769789092976,20
DX,Pre-treatment,ENSG00000127463,EMC1,0.028490573,-0.2896003211780372,13.679264096502962,21
DX,Pre-treatment,ENSG00000089876,DHX32,0.026307397,-0.3569137090679774,12.939914524424562,22
DX,Pre-treatment,ENSG00000170873,MTSS1,0.025477316,0.7545919364628185,11.834850793531224,23
DX,Pre-treatment,ENSG00000164037,SLC9B1,0.024396218,-0.5851969270649725,12.053995614771823,24
DX,Pre-treatment,ENSG00000143493,INTS7,0.024371723,0.8418173520193597,11.559033086389572,25
day_7,Day 7,ENSG00000269963,ENSG00000269963,1.1822734,-0.47806768310004505,11.343875690431535,1
day_7,Day 7,ENSG00000065054,SLC9A3R2,0.95702326,-0.29635241917576277,13.819899088524961,2
day_7,Day 7,ENSG00000178665,ZNF713,0.6156547,-0.33819598665066386,9.616227002607538,3
day_7,Day 7,ENSG00000101000,PROCR,0.46273744,-0.29358935270725783,14.852477686917867,4
day_7,Day 7,ENSG00000081760,AACS,0.29404575,-0.11446446142009742,8.87583408332228,5
day_7,Day 7,ENSG00000185933,CALHM1,0.28708604,-0.6523105364494916,11.914720738098168,6
day_7,Day 7,ENSG00000008517,IL32,0.2257871,-0.46244797619735456,9.430698345708908,7
day_7,Day 7,ENSG00000105289,TJP3,0.21829806,-0.38296596866808036,9.710951265974982,8
day_7,Day 7,ENSG00000163687,DNASE1L3,0.20304447,-0.6076644372223802,11.663080120989438,9
day_7,Day 7,ENSG00000182362,YBEY,0.19610383,-0.2965120968540438,12.205094013831074,10
day_7,Day 7,ENSG00000263740,RN7SL4P,0.17495453,0.9243794652923252,11.924195811112252,11
day_7,Day 7,ENSG00000198960,ARMCX6,0.17090522,-0.36746204044338987,8.99322796639073,12
day_7,Day 7,ENSG00000075275,CELSR1,0.16309924,-0.5115982936321236,9.845150679003376,13
day_7,Day 7,ENSG00000227740,RP11-318C24.2,0.16082582,0.8676321970584339,9.588462809334322,14
day_7,Day 7,ENSG00000197362,ZNF786,0.1483654,-0.3451277666771796,11.061587512396839,15
day_7,Day 7,ENSG00000167333,TRIM68,0.14464673,-0.18056498369891386,9.04226522638691,16
day_7,Day 7,ENSG00000108405,P2RX1,0.13575856,0.7674157079623806,9.260201587641186,17
day_7,Day 7,ENSG00000177106,EPS8L2,0.111610524,-0.3568619715927833,10.359564785473282,18
day_7,Day 7,ENSG00000231435,AC011747.3,0.10707807,0.5965791753807198,18.100339473789674,19
day_7,Day 7,ENSG00000173511,VEGFB,0.10597995,-0.5034621054368261,9.790587269209004,20
day_7,Day 7,ENSG00000124785,NRN1,0.094470024,0.40136604451023183,13.050389175523337,21
day_7,Day 7,ENSG00000128594,LRRC4,0.085153796,0.6704057006909444,9.259604547255352,22
day_7,Day 7,ENSG00000008438,PGLYRP1,0.07421351,0.6021097325706817,9.087647033242277,23
day_7,Day 7,ENSG00000148120,C9orf3,0.057181012,-0.3027914136330939,10.07764537149325,24
day_7,Day 7,ENSG00000112486,CCR6,0.048423436,-0.632492562634915,9.812024335580762,25
week_4,Week 4,ENSG00000147465,STAR,0.90759856,0.5931277932710222,13.286849184568505,1
week_4,Week 4,ENSG00000151532,VTI1A,0.8294193,-0.7232507870019126,8.938855739894672,2
week_4,Week 4,ENSG00000187808,SOWAHD,0.80495346,0.8349644745156667,20.528035854612835,3
week_4,Week 4,ENSG00000100362,PVALB,0.6478514,0.6062443889141935,11.324435142478112,4
week_4,Week 4,ENSG00000143344,RGL1,0.5365766,-0.6849253841068859,9.38512702550718,5
week_4,Week 4,ENSG00000148053,NTRK2,0.30561742,0.8535495207696696,9.978010728669423,6
week_4,Week 4,ENSG00000004059,ARF5,0.21280776,0.7584133003086722,11.220199629204293,7
week_4,Week 4,ENSG00000183784,C9orf66,0.21243414,0.4410783074597812,10.097760045287814,8
week_4,Week 4,ENSG00000213654,GPSM3,0.19622055,0.19592465482802163,10.69631130387327,9
week_4,Week 4,ENSG00000138758,SEPT11,0.17220737,-0.28470541759430756,11.044324184833416,10
week_4,Week 4,ENSG00000141068,KSR1,0.17078534,-0.6384233928191351,8.965624732992751,11
week_4,Week 4,ENSG00000133835,HSD17B4,0.16834904,-0.7826780604824145,11.414769018109535,12
week_4,Week 4,ENSG00000237372,UNQ6494,0.1593436,0.4962540483073878,13.509705136523364,13
week_4,Week 4,ENSG00000269524,CTB-83J4.1,0.14166854,0.8690619953499754,9.581877285351235,14
week_4,Week 4,ENSG00000148450,MSRB2,0.12785433,0.3610419439254553,12.572151843539617,15
week_4,Week 4,ENSG00000134531,EMP1,0.12729794,-0.8616708925493518,9.282871725997678,16
week_4,Week 4,ENSG00000131165,CHMP1A,0.12137599,0.7383976786971402,10.762684160411268,17
week_4,Week 4,ENSG00000088854,C20orf194,0.1147364,-0.6697703959547464,9.002444748216128,18
week_4,Week 4,ENSG00000152127,MGAT5,0.10112575,0.16039392129104937,11.603292553952498,19
week_4,Week 4,ENSG00000188316,ENO4,0.10054924,0.8740858336375705,11.046811794022513,20
week_4,Week 4,ENSG00000171723,GPHN,0.092112325,-0.6341407387040962,10.88940957021636,21
week_4,Week 4,ENSG00000173239,LIPM,0.09029131,-0.5923387770176433,11.627758918673953,22
week_4,Week 4,ENSG00000128829,EIF2AK4,0.07683503,-0.6960325850119419,10.980231012257773,23
week_4,Week 4,ENSG00000132842,AP3B1,0.07363773,-0.7515749597065768,10.27137217299001,24
week_4,Week 4,ENSG00000175756,AURKAIP1,0.07323645,0.5813400247216596,13.846444106593768,25
week_24,Week 24,ENSG00000108950,FAM20A,1.4253683,0.30801100839399087,68.0436843070981,1
week_24,Week 24,ENSG00000136478,TEX2,0.74105877,-0.12619071438576174,33.390820070983395,2
week_24,Week 24,ENSG00000150337,FCGR1A,0.4829231,0.3930398065887433,39.655831297393426,3
week_24,Week 24,ENSG00000171700,RGS19,0.4700583,0.4132742786662808,33.07569636719011,4
week_24,Week 24,ENSG00000122507,BBS9,0.3975159,-0.4469494523351536,37.556081093586705,5
week_24,Week 24,ENSG00000136875,PRPF4,0.3711889,-0.2679849886573231,34.73389589398028,6
week_24,Week 24,ENSG00000168899,VAMP5,0.28784528,0.25913487859329726,31.48001028497491,7
week_24,Week 24,ENSG00000124785,NRN1,0.2763344,0.2786289063456839,35.84416487039115,8
week_24,Week 24,ENSG00000198019,FCGR1B,0.26574323,0.6205242511148609,43.07075968767132,9
week_24,Week 24,ENSG00000170439,METTL7B,0.13789329,0.5764294024014739,76.93443595311584,10
week_24,Week 24,ENSG00000138758,SEPT11,0.12544513,-0.6368099069881543,34.50561733427069,11
week_24,Week 24,ENSG00000102796,DHRS12,0.11684055,0.4635763182986224,32.100999734294184,12
week_24,Week 24,ENSG00000173239,LIPM,0.11021613,0.567666481552067,49.00684152597148,13
week_24,Week 24,ENSG00000141574,SECTM1,0.108730815,0.6493522123209529,36.809330719284866,14
week_24,Week 24,ENSG00000124784,RIOK1,0.09845686,-0.42765876636650724,32.663815682073064,15
week_24,Week 24,ENSG00000082014,SMARCD3,0.09000088,0.5457286720236646,36.7285639036598,16
week_24,Week 24,ENSG00000197272,IL27,0.07630467,0.5099239123796544,34.08296101447292,17
week_24,Week 24,ENSG00000178104,PDE4DIP,0.07178642,-0.5340685368352562,35.69416408578628,18
week_24,Week 24,ENSG00000134910,STT3A,0.062209565,-0.509668822862751,38.2085206684676,19
week_24,Week 24,ENSG00000096384,HSP90AB1,0.048682943,-0.42342287018405916,34.67683222630995,20
week_24,Week 24,ENSG00000116127,ALMS1,0.03737146,-0.345565062828014,36.338080332405,21
week_24,Week 24,ENSG00000117597,DIEXF,0.027208848,-0.42342287018405916,36.480179248536736,22
week_24,Week 24,ENSG00000184557,SOCS3,0.015490777,0.5340685368352562,36.51411806452386,23
week_24,Week 24,ENSG00000078589,P2RY10,0.015209945,-0.48333869989019607,40.864893212861986,24
week_24,Week 24,ENSG00000253719,ATXN7L3B,0.012183393,-0.6166892270150895,33.747110923505005,25
