arm,arm_label,gene_symbol,log2_fold_change,p_value,fdr
DX,Pre-treatment,NLGN4Y,0.0293540211569976,0.4944412926570722,0.6993029161088884
DX,Pre-treatment,EIF1AY,0.205406077171073,0.6903239158217015,0.8331050695874848
DX,Pre-treatment,UTY,0.4495420331329129,0.6917333455217103,0.8337252086113462
DX,Pre-treatment,RPS4Y1,0.6525607466284713,0.7796087788782349,0.8877686369720061
DX,Pre-treatment,USP9Y,0.2780323414133785,0.7839868552918106,0.8885051901455324
DX,Pre-treatment,DDX3Y,0.5441026263060071,0.7847175979767507,0.8885051901455324
DX,Pre-treatment,KDM5D,0.575053709991836,0.791238256568604,0.8939497307417853
day_7,Day 7,RPS4Y1,-0.0083660098896665,0.2886319310396018,0.522853893032241
day_7,Day 7,KDM5D,-0.0369510118038332,0.3258613487877637,0.557396229585681
day_7,Day 7,USP9Y,-0.2820609199511374,0.4131532527188088,0.6340252958072672
day_7,Day 7,DDX3Y,-0.114178272339529,0.6691945647794315,0.8184266456319624
day_7,Day 7,EIF1AY,-0.0942306281775302,0.7262194627594765,0.8558115730727842
day_7,Day 7,NLGN4Y,-0.0271910876597758,0.928182779696172,0.9682341608231616
day_7,Day 7,UTY,0.0657655321936934,0.9287520556840247,0.9682341608231616
week_4,Week 4,RPS4Y1,0.831968460800371,0.6317118252948062,0.8475877942613819
week_4,Week 4,DDX3Y,0.4376826201100465,0.6895633002830446,0.8776791940113221
week_4,Week 4,USP9Y,0.171994367489884,0.6899396198152221,0.8776791940113221
week_4,Week 4,UTY,0.4210972047818733,0.7956667898718892,0.9228614608379222
week_4,Week 4,NLGN4Y,0.00499975587689,0.8366413825292787,0.941529711135933
week_4,Week 4,KDM5D,0.6069562500832171,0.8621277674778786,0.949269508947253
week_4,Week 4,EIF1AY,0.2261818454839368,0.8713793304642548,0.9537935659998286
week_24,Week 24,USP9Y,-0.1839703458636625,0.3525043420481271,0.460339933864516
week_24,Week 24,KDM5D,0.2802159347203101,0.3751403686011255,0.4832940672729948
week_24,Week 24,DDX3Y,0.0584273279713785,0.4173475908266433,0.5254680538014627
week_24,Week 24,UTY,0.1825258438158146,0.4371677191788439,0.5428034166071241
week_24,Week 24,EIF1AY,-0.1190409262728013,0.6939231723581771,0.7725942774789856
week_24,Week 24,RPS4Y1,0.4471863201993606,0.7072452342370019,0.7831063238332157
week_24,Week 24,NLGN4Y,0.0002080166306442,0.9296047052191734,0.9529186353845468
